name,city,state,country,employees,founded,description
Sterling,New York,,United States,1001-5000 Employees,1975,"Sterling offers innovative and customizable solutions that enhance the hiring process, ensuring organizations can hire with confidence and speed. Their Candidate Hub, recognized for its modern background check process, underscores their commitment to creating a positive candidate experience."
Sterling Styles limted,Gauripur,,Bangladesh,1001-5000 Employees,2007,"Sterling Styles Ltd is a manufacturer that emphasizes high-quality apparel, including denimwear and casual bottoms for adults and children."
Mainly Silver Design Co. Ltd,Sam Phran,,Thailand,501-1000 Employees,1991,"Mainly Silver Design Co., Ltd. is a prominent fine silver jewelry manufacturer based near Bangkok, Thailand, offering high-quality sterling silver products. With a commitment to ethical sourcing and sustainability, including the option for 100% recycled silver, they ensure customer satisfaction through competitive pricing and excellent service."
ALEX AND ANI,East Greenwich,,United States,1001-5000 Employees,2004,"The company offers a Sterling Silver adjustable chain necklace that is designed to layer beautifully with pendants and charms, highlighting their commitment to meaningful and eco-conscious jewelry."
Super Silver,United States,,United States,11-50 Employees,1995,"Super Silver is a leading retailer and manufacturer of high-quality sterling silver jewelry, featuring a wide range of designs including rings, earrings, and bracelets. With over 30 years of experience, the company offers a diverse collection that celebrates individuality and beauty."
ELF925,Bangkok,,Thailand,501-1000 Employees,1999,"ELF925 is a leading jewelry company in Bangkok, specializing in trendy lightweight sterling silver jewelry. With a commitment to affordability and high quality, they have established themselves as a key supplier for brands worldwide."
Silver Emporium Private Limited,Mumbai,,India,51-100 Employees,1991,"Silver Emporium is a prominent manufacturer of luxury handcrafted silverware, specializing in a wide range of silver products that adhere to the 92.5 hallmarking standards, ensuring high quality."
Service Merchandise,Staunton,,United States,10001+ Employees,,"Service Merchandise, LLC is an online retailer that specializes in fine jewelry, offering a variety of sterling silver products, including a rhodium-plated 1.25mm diamond-cut Forzantina cable chain."
Peter Stone Jewelry,Bang Pu Subdistrict Municipality,,Thailand,501-1000 Employees,1992,"Peter Stone Jewelry specializes in finely crafted pieces made from high-quality sterling silver, highlighting their expertise in this material."
H&T Group plc,Waverley,,United Kingdom,1001-5000 Employees,1897,"H&T Group offers a Silver Sterling 100g Bar, emphasizing their commitment to quality through thorough checks and refurbishing of their pre-owned items."
