name,city,state,country,employees,founded,description
TePe,Malmo,,Sweden,251-500 Employees,1965,"TePe is a manufacturer of oral hygiene products that emphasizes the importance of interdental cleaning, which includes dental floss. Their high-quality items are endorsed by dental professionals and are designed to promote preventive dental care and long-term oral health."
FLOSS Dental,Houston,,United States,51-100 Employees,2007,"FLOSS is a prominent dental service provider that offers a range of services, including general and cosmetic dentistry, with a focus on advanced technologies and patient comfort. Their innovative approach and state-of-the-art facilities enhance the overall dental care experience."
DentaCarts,Cairo,,Egypt,51-100 Employees,2017,"DentaCarts is a key player in the dental supply industry, operating a B2B e-commerce platform that features a wide range of dental products, including Fresh Up Dental Floss. Their focus on innovative digital solutions enhances the ordering and inventory management processes for dental businesses in the MEA region."
"Dr. Fresh, LLC",Buena Park,,United States,101-250 Employees,1998,"Fresh is a rapidly expanding oral care company that offers innovative products, including Dr. Fresh Dental Floss, Mint Waxed 130 yds. Their commitment to enhancing oral care through quality and affordable solutions makes them a notable player in the market."
Flossy,Los Angeles,,United States,11-50 Employees,2020,"Flossy offers a pay-as-you-go membership that provides access to top-quality dental care at up to 50% off typical prices, eliminating the need for confusing dental insurance. This approach allows patients to book appointments with highly-rated dentists, making dental services more affordable and accessible."
ProxySoft Worldwide Inc.,Bethel,,United States,11-50 Employees,2015,"ProxySoft Worldwide, Inc. specializes in dental floss products designed to enhance oral hygiene, including options for bridges, implants, and periodontal care. Their innovative FlexYarn Technology ensures effective cleaning between teeth, making it a great choice for various gum care needs."
Hebei Fenghe Biotechnology Co.LTD,Handan,,China,51-100 Employees,1998,"The company, Hebei Fenghe Biotechnology, offers a range of dental floss products that have received multiple certifications, ensuring their quality and safety. With a commitment to continuous improvement and advanced production capabilities, their dental floss is well-regarded by customers."
Perident Ltd,Galashiels,,United Kingdom,251-500 Employees,1986,"Peri-dent is a prominent manufacturer of dental floss, highlighting its importance as the most commonly used product for interdental cleaning. Their product range includes various types of floss, such as nylon and UHMWPE, catering to diverse cleaning needs."
Hebei Fenghe Biotechnology INC.LTD,Handan,,China,251-500 Employees,1999,"Hebei Fenghe Biological Technology Co., Ltd. specializes in high-quality dental floss products, including various types such as waxed, unwaxed, PTFE, and biodegradable floss. The company emphasizes product development and quality control, ensuring that their dental floss has received multiple certifications, making it a trusted supplier for numerous European and American brands."
Dentalkart,New Delhi,,India,251-500 Employees,2014,"Dentalkart is a prominent online retailer that offers a wide range of dental products, including dental floss. They emphasize quality and provide comprehensive solutions for dental clinics, making them a trusted source for dental care essentials."
