name,city,state,country,employees,founded,description
CarbonStore,Stirling,,United Kingdom,251-500 Employees,2020,"CarbonStore plays a crucial role in the carbon storage sector by connecting landowners with companies seeking to purchase certified Woodland and Peatland Carbon Units. Their collaboration with partners like Tilhill and Maelor Forest Nurseries ensures high standards in creating new woodlands and restoring peatlands, thereby helping organizations offset their carbon emissions and achieve climate change goals."
Wood,Aberdeen City,,United Kingdom,10001+ Employees,1912,"Wood is actively involved in carbon capture and storage solutions, aligning with the growing focus on achieving a net-zero world."
Pure Storage,Mountain View,,United States,1001-5000 Employees,2009,"Pure Storage is dedicated to innovative data storage solutions, offering a range of products that support efficient data management in both private and public cloud environments. The company's emphasis on sustainability and social responsibility is integral to its operational strategy."
CarbonSpaceTech,Dublin,,Ireland,11-50 Employees,2020,"The company focuses on carbon emissions and sequestration from various land uses, including farms, fields, and forests."
Gonvarri Material Handling,Oslo,,Norway,1001-5000 Employees,2018,"Gonvarri Material Handling is a prominent manufacturer of diverse storage solutions, with a focus on innovative systems and warehouse management that could be applicable in sectors requiring efficient carbon storage. Their expertise in engineering and comprehensive services underscores their capability to address specialized storage needs across various industries."
WayCarbon,Belo Horizonte,,Brazil,101-250 Employees,2006,"WayCarbon offers integrated services and products that support sustainability management in both public and private initiatives, with a focus on climate change and ESG (Environmental, Social, and Governance) practices. Their solutions include carbon offsetting, which directly relates to carbon storage efforts."
CarbonChain,London,,United Kingdom,1-10 Employees,2019,"CarbonChain specializes in carbon accounting software that quantifies emissions throughout the supply chain, providing companies with the precise data needed to reduce their carbon footprint and support their journey towards carbon neutrality. This focus on accurate emissions tracking is essential for creating a net-zero global supply chain by 2050, making CarbonChain a valuable resource for those interested in carbon storage and reduction."
Carbfix,Reykjavik,,Iceland,11-50 Employees,2006,Carbfix offers a natural and permanent solution for carbon storage by transforming CO2 into stone underground in less than two years.
Carbon60 Networks,Richmond Hill,,Canada,51-100 Employees,1998,"Carbon60 is a leading provider of cloud services in Canada, specializing in cloud adoption, migration, and management."
Carbon Clean Solutions,London,,United Kingdom,11-50 Employees,2009,"Carbon Clean is dedicated to achieving net zero through comprehensive carbon capture and storage solutions. Their technology, particularly in steel-making processes, offers significant opportunities for capturing and storing carbon emissions, aligning with their mission to capture 1 billion tonnes of carbon."
