name,city,state,country,employees,founded,description
Emco Wheaton,Houston,,United States,101-250 Employees,1906,"The company conducts a case study focused on whiskey, highlighting its significance and various aspects within the industry."
High West Distillery,Wanship,,United States,501-1000 Employees,2006,"High West is a premier whiskey manufacturer known for its meticulously crafted straight bourbons, aged for at least two years. With a state-of-the-art distillery in Utah and unique locations that offer whiskey tours and tastings, the company highlights its commitment to quality and consumer engagement in the whiskey sector."
Whiskey Design,Socorro,,United States,1-10 Employees,2009,"Whiskey Design is a creative agency that specializes in advertising, branding, design, and packaging for the alcohol industry, focusing on delivering bold visual identities that enhance the perception of whiskey and other alcohol products."
Boann Distillery,Drogheda,,Ireland,51-100 Employees,2013,"The company, Boann Distillery, has introduced new whiskeys to its Whistler family and received five awards at the Irish Whiskey Awards. Their Whistler Irish Honey Whiskey is crafted by infusing ex-bourbon matured Irish whiskey with honey from their family orchards."
Heaven Hill Brands,Bardstown,,United States,1001-5000 Employees,1935,"Heaven Hill Brands is a prominent producer of distilled spirits, including a diverse range of whiskies such as Bourbon and Rye Whisky. Their key products include well-known brands like Evan Williams Bourbon and Rittenhouse Rye Whisky."
Constellation Brands,Town of Victor,,United States,1001-5000 Employees,1945,"Constellation Brands is a prominent international producer of spirits, including High West Whiskey, which highlights their diverse portfolio of high-end alcoholic beverages. The company's commitment to sustainability and responsible consumption further enhances its brand reputation."
Irish Distillers Ltd,Dublin,,Ireland,501-1000 Employees,1966,"Irish Distillers is a prominent producer of Irish whiskeys, including famous brands like Jameson and Redbreast, and operates the Midleton Distillery. The company emphasizes sustainability and innovative manufacturing processes to enhance production capacity."
Stoli® Group,New York,,United States,501-1000 Employees,2013,"Stoli® Group is a prominent manufacturer and distributor of premium spirits, including The Wiseman™ Bourbon and Wiseman Kentucky Straight Rye, both of which highlight their expertise in producing high-quality whiskies."
MATTHEW CLARK BIBENDUM (HOLDINGS) LIMITED,Bristol,,United Kingdom,1001-5000 Employees,2007,"The company is a nationwide drinks distributor in the UK, offering a wide range of products, including whiskey like Jim Beam Double Oak 43%. They provide next-day delivery and additional services such as training and menu design to support hospitality venues."
Radico Khaitan Limited,New Delhi,,India,1001-5000 Employees,1999,"Radico Khaitan Limited is a prominent Indian manufacturer of whisky, including its notable brand Whytehall Whisky, which is a refined blend of aged scotch malts and premium grain spirits, offering a rich and full-bodied flavor."
