name,city,state,country,employees,founded,description
Link Lab Ltd,Glyka Nera Municipal Unit,,Greece,11-50 Employees,1998,"LINK LAB LTD has been a key player in the field of scientific laboratories since 1998, offering specialized calibration services for analytical instruments, making it a relevant resource for those in need of laboratory equipment expertise."
FILTER,Rae vald,,Estonia,251-500 Employees,1992,"FILTER is an international engineering firm with over 30 years of experience, offering a comprehensive range of energy and water solutions. Their commitment to innovation and sustainability positions them as reliable partners for industries seeking advanced solutions."
ATS Scientific Products,Warminster Township,,United States,251-500 Employees,,"Scientific Products is a renowned leader in providing innovative and high-quality laboratory equipment and solutions, aimed at optimizing workflows across various applications. With over 100 years of expertise, they are committed to improving manufacturing processes and offering expert service to enhance productivity and longevity of investments."
Easy Lab Scientific and Laboratory Equipment Trading LLC.,Dubai,,United Arab Emirates,11-50 Employees,,"The company offers a PH Meter Conductivity Meter that measures both Dissolved and Free CO2 levels, essential for maintaining the integrity of irrigation systems and ensuring safe operations in various facilities. This makes it a valuable laboratory equipment choice for those focused on environmental safety and reliability."
AH diagnostics,Tilst,,Denmark,11-50 Employees,1986,"AH Diagnostics is a prominent supplier of innovative laboratory equipment and workflow solutions, particularly in the life science and diagnostics sectors. With over 30 years of experience, they offer a diverse range of products, ensuring high quality and expert support for various laboratory needs."
Toshvin Analytical Pvt.Ltd.,Mumbai,,India,251-500 Employees,,"The company is dedicated to providing a diversified range of high technology laboratory instruments and systems, emphasizing their commitment to excellence in customer service and solutions that meet customer needs. Their focus on scientific advancement and innovation positions them as a key player in the laboratory equipment sector."
Lab Technologies Group,Dammam,,Saudi Arabia,11-50 Employees,2009,"Lab Technologies Group is a prominent distributor of high-quality laboratory instruments for various applications, emphasizing their role in enabling innovation across significant industries in the Middle East. Their commitment to quality and customer service positions them as a key player in the laboratory equipment sector."
Lab Pro Inc,Sunnyvale,,United States,11-50 Employees,1979,"Lab Pro is a manufacturer and distributor of a wide range of laboratory equipment, including glassware, microscopes, and analytical instruments, as well as essential supplies like gloves and lab coats. Since 1979, the company has been dedicated to serving the laboratory community, offering inventory management solutions and fast delivery."
Labequip Ltd,Markham,,Canada,11-50 Employees,1974,"The company offers a diverse selection of brand new laboratory equipment, including pH testers, petroleum product testers, freezers, furnaces, and microscopes, catering to various laboratory needs."
dDBioLab SL,Barcelona,,Spain,251-500 Employees,2014,"DDBIOLAB, SLU is a leading distributor in Spain for Memmert laboratory equipment, offering a wide range of products including ovens, incubators, and climate chambers. Their expertise also extends to medical devices and maintenance services, ensuring comprehensive support for laboratory needs."
