name,city,state,country,employees,founded,description
Química Delta,Mexico,,Mexico,251-500 Employees,1974,"The company is a leading distributor of basic oils and chemicals in Mexico, highlighting its expertise in supplying raw materials for various segments. They emphasize their commitment to product integrity and efficient supply chains, which may be relevant for sourcing toluene."
PT Trans-Pacific Petrochemical Indotama,Tuban,,Indonesia,251-500 Employees,1995,"PT Trans-Pacific Petrochemical Indotama (PT TPPI) produces toluene as part of its diverse range of petrochemical products, alongside Paraxylene and Benzene. The company's commercial refinery in East Java has significant production capabilities, highlighting its role in the oil and energy sector."
Petroquímicos Bretón,Girardot,,Colombia,1-10 Employees,1977,"The company is a distributor with over 30 years of experience in the petrochemical sector, specializing in aromatic solvents, including Toluene."
Petrochem Middle East FZE,Dubai,,United Arab Emirates,251-500 Employees,1995,"Petrochem provides a comprehensive range of products, including toluene, which is utilized across various industries and applications. Their services encompass drumming, packing, blending, and storage, making them a one-stop shop for chemical solutions."
ALCOHOLS LIMITED,-,,-,,,"Alcohols Limited is a chemical distribution company that provides a variety of solvent and specialty chemical products, including toluene."
ibuychemikals.com,Chennai,,India,501-1000 Employees,2016,"Ibuychemikals emphasizes the importance of quality in chemicals, ensuring accurate results for various users. They offer Toluene AR for sale online, available in quantities ranging from a few mg to 25 Kg, making it convenient for both small and large-scale needs."
UK TRG ULUSLARARASI PETROL ÜRÜNLERİ TİC. A.Ş.,Turkey,,Turkey,11-50 Employees,2021,"The company, UK TRG International Petroleum Limited, specializes in trading a wide range of chemicals, including toluene. They are committed to providing tailored solutions for various applications and ensure reliable sourcing and delivery of commodities worldwide."
Hall's Retail,Msunduzi Local Municipality,,South Africa,51-100 Employees,1989,"Hall’s Retail offers Toluene in a 5L format, which is a colorless, water-insoluble liquid commonly used in printing and leather tanning. The company emphasizes the quality of its solvents, ensuring that only first-grade materials are provided."
Elchemy,Ahmedabad,,India,1-10 Employees,2021,"Elchemy specializes in creating personalized chemical formulations, which may include toluene (CAS #108-88-3), highlighting their expertise in addressing the unique challenges of the chemical industry. Their commitment to quality and safety ensures that they can meet specific customer needs effectively."
Same Chemicals B.V.,Barendrecht,,Netherlands,11-50 Employees,1970,"Toluene is a solvent with the chemical formula C7H8, used for various applications such as a diluent and a raw material in chemical processes. SAME Chemicals has over 50 years of experience in supplying a wide range of chemical products, including toluene, from national and international manufacturers."
