name,city,state,country,employees,founded,description
Empire Office,New York,,United States,501-1000 Employees,1946,"Empire Office Furniture is a prominent manufacturer and service provider of commercial furniture solutions, boasting over 79 years of experience and being the largest Steelcase dealer in the U.S. They offer a wide range of services, including furniture procurement, design, delivery, and installation, making them a key player in the office furniture industry."
Sunon Furniture,Hangzhou City,,China,1001-5000 Employees,1991,"The company, Sunon Office Furniture, emphasizes its expertise in the modern office furniture industry and its commitment to providing innovative workplace solutions that enhance productivity and success for both employers and employees."
Dious Furniture Group Co. Ltd,Jiangmen,,China,1001-5000 Employees,,"Dious is a leading office furniture manufacturer in China, offering a wide range of modern office furniture that is adaptable for various workspaces. The company focuses on creating green and comfortable environments, providing customized design options and comprehensive solutions for clients."
Zebro Officemate Private Limited,Chennai,,India,251-500 Employees,1999,"Zebro Officemate Pvt. Ltd. is a prominent manufacturer of office furniture, offering a diverse range of ergonomic solutions designed to enhance workplace comfort. Their product lineup includes modular workstations, ergonomic chairs, and height-adjustable tables, all rigorously tested to meet industry standards."
CRYSTAL FURNITECH PVT LTD,India,,India,51-100 Employees,2003,"Crystal Furniture Industries specializes in providing comfortable interior furniture tailored to client needs, emphasizing design and quality. With a spacious factory and a commitment to creative production methods, they deliver furniture that enhances both aesthetics and functionality."
Office Furniture + Related Services,Nashville,,United States,11-50 Employees,1980,"The company specializes in providing high-quality office furniture, offering both used and new items produced sustainably. Their expertise encompasses design, space planning, and project management, ensuring innovative solutions that meet the growing needs of offices while maintaining cost control."
WORKSPACE.AE,Dubai,,United Arab Emirates,51-100 Employees,2017,"Workspace Office Furniture specializes in office space planning and offers a custom collection of modern office furniture, designed to create innovative work environments. The company is recognized for its quality management systems, ensuring that their products meet high standards of design and functionality."
WORKMAN,Lahore,,Pakistan,501-1000 Employees,1980,"Workman offers a diverse range of over 650 office furniture products, including executive desks, chairs, workstations, and storage solutions, making it a reliable choice for both comfort and aesthetics in the workplace. The company is dedicated to providing customized solutions and ensuring high quality at competitive prices."
"Haworth, Inc.",Holland,,United States,5001-10000 Employees,1948,"Haworth is a prominent manufacturer of office furniture, offering a diverse range of products such as seating, storage, and movable walls. The company focuses on creating innovative workspaces that enhance workplace culture and employee engagement."
Office Furniture Company,Sydney,,Australia,1-10 Employees,,"The Office Furniture Company specializes in commercial-grade office furniture, offering a wide range of products including task and executive chairs, workstations, and storage solutions. With a commitment to quality and a Best Price Guarantee, they are a trusted choice for businesses and government entities seeking reliable office furnishings."
