name,city,state,country,employees,founded,description
Rak Media Group,South Sudan,,South Sudan,,,"RAK Media Group is a leading printing and advertising company in South Sudan, known for its commitment to service excellence and advanced printing technologies. They emphasize high-quality results and innovative approaches, making them well-equipped to handle screen printing needs."
US Colorworks,Monroe,,United States,51-100 Employees,,"US Colorworks has a dedicated screen printing department equipped with 10 multi-color automatic presses, capable of printing up to 12 colors. This ensures consistency and quality for your printing needs."
Perfect Fitz,Broussard,,United States,11-50 Employees,,"Perfect Fitz is a locally owned printing company that specializes in promotional needs, offering a variety of products and services, including screen printing for t-shirts and other items. With a commitment to quality and efficiency, they use state-of-the-art equipment to ensure high standards in every order."
T-Print Clothing Solutions,Bispham,,United Kingdom,51-100 Employees,1979,"T-Print has been a leading garment embellisher in the UK for over 38 years, specializing in high-quality screen printing on a variety of apparel, including t-shirts, hoodies, and jackets. Their state-of-the-art facilities and commitment to quality ensure maximum impact for their customers' brands."
Screen Print World Ltd,Wyre Forest,,United Kingdom,11-50 Employees,2006,"Screen Print World specializes in screen printing, boasting over 100 years of experience in both new and used equipment and supplies. Their headquarters features a showroom with working machinery and a variety of printed t-shirt examples, highlighting their expertise and extensive product offerings."
Piranha Print Ltd,Newcastle upon Tyne,,United Kingdom,1-10 Employees,1997,"The company offers a variety of printing options, including screen printing, which is highlighted as one of their services. With over 20 years of experience, they provide quality printed promotional merchandise for both personal and business needs."
Fresh Prints,New York,,United States,251-500 Employees,,"Fresh Prints specializes in custom apparel and promotional products, offering services like screen printing and embroidery. They cater to a diverse clientele, including student groups and organizations, providing tailored solutions to meet specific needs."
Metroplus Advertising Dubai,United Arab Emirates,,United Arab Emirates,251-500 Employees,2005,"Metroplus offers screen printing services as part of their quality printing solutions. They emphasize cost-effective and high-quality images, utilizing advanced technology to enhance branding for businesses."
NJ Screen Prints,United Kingdom,,United Kingdom,51-100 Employees,,"NJ is a prominent manufacturer in the printing industry, specializing in screen printing and garment decoration, with the capability to produce over 500,000 high-quality prints per month."
Silk Screen Shirts,Carlsbad,,United States,11-50 Employees,1969,"Silk Screen Shirts, Inc. is a specialized manufacturer in screen printing and embroidery, offering a diverse range of services including water-based and jumbo printing. With the capacity to produce over 35,000 prints daily and a commitment to environmentally friendly practices, they cater to both large and small orders, making them a comprehensive resource for screen printing needs."
