name,city,state,country,employees,founded,description
InterPro Solutions,United Kingdom,,United Kingdom,1-10 Employees,2003,"The company offers comprehensive design and publishing solutions for authors, covering everything from manuscript creation to final publication. Their extensive services ensure a streamlined process, allowing authors to retain 100% of their royalties."
PublishDrive,Temecula,,United States,11-50 Employees,2014,"PublishDrive is a specialized platform that offers a comprehensive suite of tools for the distribution and management of ebooks, print books, and audiobooks, making it an ideal solution for both indie authors and publishers. With features like ebook conversion, marketing tools, and access to a vast network of online stores and libraries, PublishDrive streamlines the self-publishing process and enhances visibility for published works."
Educart,India,,India,251-500 Employees,,"The company specializes in publishing services, offering a comprehensive range of products and solutions for authors and creators, including editorial support, design, and distribution of both printed and digital media. Their focus on academic books and teaching resources has significantly impacted exam performance, particularly for CBSE, ICSE, NEET, CUET, and UP board students and teachers."
HarperCollins,New York,,United States,1001-5000 Employees,1817,"HarperCollins Publishers is a leading force in book publishing, with over 200 years of experience and a vast network of more than 120 unique imprints. They provide authors with exceptional editorial support and marketing reach, positioning themselves as the second-largest consumer book publisher in the world."
Publishing Xpress,Madison Heights,,United States,11-50 Employees,2010,"Publishing Xpress specializes in online self-publishing and printing services, offering a variety of solutions for book printing. They provide cost-effective options with fast turnaround times, making self-publishing accessible and efficient."
Page Publishing,Conneaut Lake,,United States,51-100 Employees,,"Page Publishing is a full-service publishing house that manages all aspects of book publishing, from distribution to royalty generation, allowing authors to concentrate on their writing. With a team of experts, they provide a seamless and stress-free publishing experience."
Publishing Partner,San Diego,,United States,1-10 Employees,2012,"Publishing Partner specializes in comprehensive book publishing services for independent and self-publishing authors, offering support throughout the entire process from idea development to promotion. They emphasize inclusivity and ensure authors retain 100% of their royalties, making it an appealing option for those looking to publish their books effectively."
BookWise Publishing,West Jordan,,United States,251-500 Employees,,"BookWise Publishing (BWP) has been supporting self-published authors since 2006, providing access to a network of professional editors, designers, and marketing experts. BWP's CEO, Karen K Christoffersen, emphasizes the importance of networking among authors to enhance their market presence and readership."
Lulu Press,Morrisville,,United States,51-100 Employees,2002,"Lulu is a specialized service provider in the book publishing industry, offering creators the ability to self-publish and print books using innovative print-on-demand technology. With a range of services including editing, cover design, and global distribution, Lulu empowers authors to sell their books directly to consumers through popular e-commerce platforms."
Grupo Editorial Sargantana SL,Paterna,,Spain,11-50 Employees,2014,"The company offers a diverse and high-quality range of publishing projects across various sectors and genres, including collections for children, youth, narrative, notable figures, and local culture. They provide personalized and transparent services for writers, businesses, and institutions looking to publish a book."
