name,city,state,country,employees,founded,description
ecotainable,Siegen,,Germany,,,"ecotainable offers consulting services in the field of energy efficiency and sustainability for industry, trade, and commerce. With our practical solutions, we support companies in maximizing energy efficiency, tapping into new potential, and securing cost savings."
ESG Consulting,United States,,United States,501-1000 Employees,1986,"ESG Consulting specializes in providing IT and engineering talent, emphasizing their ability to deliver measurable results that align with client needs. With over 30 years of experience, they serve a diverse clientele, including Fortune 1000 companies and public sector entities, ensuring high-quality and timely deliverables within budget."
RPSGroup,Vale of White Horse,,United Kingdom,5001-10000 Employees,1970,"RPS is a prominent global professional services firm that specializes in ESG consulting, offering strategic advisory and technical expertise to help organizations develop and execute effective ESG initiatives. With a focus on reducing emissions and achieving carbon neutrality, RPS is well-equipped to assist clients in creating value through tailored ESG strategies and measurable success."
ESG Consulting GmbH,Fürstenfeldbruck,,Germany,11-50 Employees,2007,"ESG Consulting is a dedicated service provider in management consulting, emphasizing project management and strategic IT management. They collaborate with clients to implement innovative IT and technology projects, which is increasingly vital for successful business models across various industries."
ESG,Fürstenfeldbruck,,Germany,1001-5000 Employees,1967,"ESG is an independent system integrator and a national technology and innovation partner for defense and public safety, highlighting its expertise and commitment to security-related sectors."
SKOPOS ESG,St Andrews,,United Kingdom,1-10 Employees,,"The company offers bespoke ESG consulting solutions tailored to the unique needs of organizations at various stages of their sustainability journey. Their services emphasize accountable and transparent business practices, helping clients integrate ESG considerations into their value-driven strategies."
ESG Management Solutions,Calgary,,Canada,1-10 Employees,2019,"The company is a team of independent ESG professionals offering consulting services focused on Environmental, Social, and Governance management."
Enterprise Strategy,Milford,,United States,51-100 Employees,1999,"Enterprise Strategy Group offers consulting services that include comprehensive research and advisory support, which can be valuable for tech companies looking to enhance their ESG strategies. Their data-driven insights and third-party validations help clients effectively address market challenges and build confidence in their solutions."
Integrated Sustainability,Calgary,,Canada,51-100 Employees,2010,"Integrated Sustainability offers expert ESG consulting services tailored for SMEs, governments, and corporations, focusing on sustainable infrastructure solutions that address environmental, social, and governance challenges. Their dedicated team provides comprehensive ESG management and advisory, aimed at delivering meaningful change and reducing project execution risks."
FrameworkESG,Stamford,,United States,11-50 Employees,2003,"FrameworkESG is a specialized consulting firm focused on providing data-driven insights to help clients manage and reduce risks associated with ESG issues. Their expertise lies in aligning corporate strategies and practices with evolving environmental, social, and governance realities, ultimately creating value for stakeholders."
