name,city,state,country,employees,founded,description
iSocks,Sofia,,Bulgaria,,,"Reliable custom sock production for brands and enterprises—EU-based manufacturing, low MOQs, and fast turnaround times. We support scalable bulk orders with flexible design options, consistent premium quality, and dependable delivery for corporate merch and private-label retail collections."
Shahzad Textile Mills,Lahore,,Pakistan,1001-5000 Employees,1978,"Shahzad Textile Mills Limited is a prominent socks manufacturer in Pakistan, specializing in premium export-quality socks, including specialized types like diabetic and anti-slip socks. The company utilizes advanced technologies and has a significant production capacity, ensuring a diverse range of high-quality socks for global markets."
Infiiloom,India,,India,1001-5000 Employees,1998,"Infiiloom is a prominent manufacturer of high-quality socks, offering a diverse range that includes formal, casual, medical, and athletic styles. The company emphasizes innovation and quality, ensuring that its products meet the highest standards."
Sock Fancy,Atlanta,,United States,11-50 Employees,2013,"The company offers premium custom socks that can showcase your brand or personal designs, making them a perfect gift for any occasion. Their socks are specially engineered for comfort and support, catering to fashion, function, and fitness needs."
ComfySocks A/S,Herning,,Denmark,51-100 Employees,1998,"ComfySocks has 20 years of experience in producing high-performance socks for various sports, utilizing sustainable and technical yarns. They are committed to responsible production practices, including circular solutions, ensuring they meet the highest sustainability standards."
SockSoho,San Francisco,,United States,11-50 Employees,2019,"SockSoho offers premium no-show socks made from high-quality Combed Cotton and Scottish Lisle Cotton, designed for exceptional comfort and durability. Their innovative elastic technology enhances blood circulation, ensuring a secure fit without tightness, making them a luxurious choice for both casual and formal wear."
Snocks,Mannheim,,Germany,11-50 Employees,2016,"SNOCKS offers a diverse range of socks designed to complement various lifestyles, emphasizing comfort, style, and quality."
Bolero Socks,Turkey,,Turkey,251-500 Employees,,"Bolero SOCKS® specializes in providing a wide variety of socks and legwear, including plain, textured, sport, and thermo socks, along with private labeling opportunities. With years of experience as a reliable manufacturer in Turkey, they emphasize quality and customer service, making them a strong partner for diverse sock needs."
Safeaid Ltd,Havant,,United Kingdom,11-50 Employees,1976,"Safeaid offers a variety of products, including rail footwear and socks, emphasizing their expertise in workwear for the rail industry. With over 40 years of experience, they ensure quality and reliability through their in-house brand, Signal."
Zappos,Las Vegas,,United States,1001-5000 Employees,1999,"Zappos offers a variety of socks, including Hunter Boot Socks, highlighting their extensive selection of clothing and accessories. The company's commitment to exceptional customer service ensures a positive shopping experience for customers seeking quality footwear and related items."
