name,city,state,country,employees,founded,description
Vitero Tiles,Hyderabad,,India,501-1000 Employees,2017,"Vitero Tiles is a leading manufacturer of vitrified tiles in India, utilizing advanced Italian technology and innovative nanotechnology to ensure exceptional quality and durability. Their extensive range includes various types of tiles, making them a reliable source for both residential and commercial applications."
Sunhearrt Ceramik,India,,India,501-1000 Employees,2009,"Sunhearrt Ceramik specializes in a diverse range of high-quality ceramic products, including glazed and polished vitrified tiles. Their extensive collection and innovative designs aim to redefine modern living and enhance the aesthetic appeal of any space."
Hollis Vitrified pvt ltd,India,,India,501-1000 Employees,,"Hollis Vitrified is a manufacturer and supplier of high-quality vitrified tiles, offering a diverse range that includes double charged and nano vitrified tiles. The company's commitment to quality assurance and efficiency ensures that their products enhance home environments."
Pavit Ceramics Pvt. Ltd.,Ahmedabad,,India,501-1000 Employees,2003,"Pavit Ceramics Pvt. Ltd. is a prominent manufacturer of vitrified tiles in India, offering a diverse range of products suitable for both interior and exterior applications. With advanced production capabilities and a commitment to eco-friendly practices, the company provides customizable tiles in various sizes, catering to the specific needs of architects and customers."
Varmora Tiles Bathware,India,,India,1001-5000 Employees,1994,"Varmora Granito is a prominent manufacturer of high-quality vitrified tiles, offering a diverse collection that emphasizes durability and superior design. Their expertise in ceramic and vitrified tiles, combined with innovative manufacturing technologies, positions them as a key player in the tile industry."
Simanto Vitrified,Haripar,,India,1001-5000 Employees,,"Simanto Vitrified LLP is a leading manufacturer of high-quality vitrified wall tiles, specializing in double charged vitrified tiles in sizes 600 x 600 mm and 600 x 1200 mm. Their commitment to international standards ensures that their tiles are not only stylish but also reliable and safe for various applications in homes and commercial spaces."
Ceramax Granito Limited,Bikaner,,India,501-1000 Employees,2016,"Ceramax Granito Limited is a prominent manufacturer of vitrified tiles, offering a diverse range of high-quality options that combine traditional craftsmanship with modern technology. Their glazed vitrified tiles are particularly popular for their strength, scratch resistance, and extensive design choices, making them ideal for both residential and commercial applications."
Simpolo Ceramics,India,,India,1001-5000 Employees,1977,"Simpolo Tiles is a leading manufacturer that offers a wide range of high-quality vitrified tiles, designed to enhance spaces with elegance and style. Their innovative Digital Showroom and Virtual Space Creator allow customers to visualize and select tiles in 3D, making the tile selection process both engaging and efficient."
Lorence Vitrified,India,,India,251-500 Employees,2017,"Lorence Vitrified LLP is a prominent manufacturer and exporter of vitrified tiles, including GVT/PGVT tiles, which are known for their durability, aesthetic designs, and non-porous quality. The company utilizes advanced digital printing technology to create a wide variety of visually appealing designs, making their tiles suitable for both interior and exterior applications."
Lycos Ceramic,Rajkot,,India,1001-5000 Employees,2007,"Lycos Ceramic is a manufacturer and exporter that offers a wide range of vitrified tiles, including Soluble Salt Porcelain Floor Tiles and Nano Polished Vitrified Tiles, highlighting their expertise in durable and high-quality ceramic products."
