name,city,state,country,employees,founded,description
Habasit,Reinach,,Switzerland,1001-5000 Employees,1946,"The company offers self-tracking elastic belts, highlighting a unique feature that enhances comfort and fit."
Belt Power LLC,Atlanta,,United States,101-250 Employees,1989,"Belt Power is a leading supplier of conveyor belts and components, offering a wide variety of products from top manufacturers. They specialize in fabric belting and modular plastic belting, ensuring a comprehensive inventory to meet diverse conveyor system needs."
Gates Industrial,Denver,,United States,10001+ Employees,1911,"Gates is a prominent manufacturer that offers a diverse range of products, including V-belts and synchronous belt drives, highlighting their expertise in power transmission solutions. Their commitment to advanced materials and innovation ensures high-quality belt solutions that meet industry standards."
Belting,Kortrijk,,Belgium,11-50 Employees,2006,"Belting specializes in conveyor belts, leveraging extensive experience to provide a complete service that includes delivery, installation, and all necessary components. With a commitment to sustainability and continuous investment in resources, Belting ensures reliable solutions for internal transport needs."
Chiorino,Italy,,Italy,501-1000 Employees,1906,"Chiorino is a leading international company specializing in the manufacturing and distribution of various types of belts, including conveyor and process belts, as well as flat transmission belts. Their commitment to quality and safety, particularly in the food industry, ensures that their products meet stringent European and international regulations."
Stanco Services Ltd,Welwyn Hatfield,,United Kingdom,11-50 Employees,2016,"Capital Belting is a team of independent Conveyor Belt Specialists that collaborates with leading suppliers to ensure exceptional quality and longevity in their belt products. They cover various industries and provide a 24-hour callout service, emphasizing their commitment to high standards and customer service."
Timken Belts,North Canton,,United States,10001+ Employees,1899,"Timken Belts is a manufacturer of high-quality industrial belts, including various types such as synchronous and V-ribbed belts. Their commitment to innovative product development and customer satisfaction ensures that they provide performance-driven solutions for various applications."
THEJO Engineering Ltd,Chennai,,India,1001-5000 Employees,1974,"Thejo is a specialized manufacturer and service provider focused on conveyor belt maintenance, offering a variety of products and services that include splicing chemicals and conveyor upkeep."
Mercurio Conveyor Belt,Jundiaí,,Brazil,501-1000 Employees,1945,"Mercurio Conveyor Belt is a leading manufacturer of various types of belts, including steel cable and canvas conveyor belts, serving diverse industries such as mining and construction. With over 76 years of experience, the company emphasizes quality and offers both standard and custom solutions to meet specific customer needs."
Beltwin-Conveyor Belt Vulcanizers,Wenzhou,,China,51-100 Employees,2012,"Beltwin is a leading manufacturer of conveyor belt machinery, offering a comprehensive range of equipment and solutions for belt splicing, including vulcanizers and splice presses. With a commitment to high standards and excellent customer service, Beltwin supports clients globally with technical expertise and innovative technology."
