name,city,state,country,employees,founded,description
Lobsterfish,Deerlijk,,Belgium,11-50 Employees,1997,"Lobsterfish is a distributor that offers a diverse selection of live, fresh, and frozen crustaceans, including lobsters. The company prides itself on providing high-quality seafood products, ensuring a perfect seafood platter for its clients."
Baldor Specialty Foods Inc.,New York,,United States,1001-5000 Employees,1991,"Baldor Specialty Foods offers a variety of lobster products, including frozen lobster tails and claw and knuckle meat, ensuring a consistent supply of high-quality seafood for its diverse clientele."
FALCON PACK COMPANY LLC,Manama,,Bahrain,10001+ Employees,,"Shell Fisheries is a prominent manufacturer of high-quality frozen seafood products, including rock lobster. With over 40 years of expertise, the company emphasizes sustainable practices and quality, making it a trusted provider for seafood."
The Lobster Place,New York,,United States,51-100 Employees,1974,"Lobster Place is a prominent seafood market in New York City, known for its extensive selection of fresh and frozen lobster and seafood. With a commitment to sustainable practices, it has been a key supplier of high-quality lobster for over 40 years, making it a go-to destination for seafood lovers."
Burger & Lobster Restaurant Group Limited,London,,United Kingdom,501-1000 Employees,2011,"Burger & Lobster is a restaurant group that specializes in serving wild, fresh Atlantic lobsters, emphasizing quality and simplicity in their offerings."
Pierless Fish Corp,New York,,United States,51-100 Employees,1999,"Pierless Fish Corp offers a variety of lobster products, including live whole wild lobsters and frozen lobster claws and knuckles, catering to seafood lovers and top chefs in New York City. Their commitment to high-quality and sustainable seafood ensures that customers have access to fresh and premium lobster options."
Lobster Nordics,Copenhagen,,Denmark,251-500 Employees,2002,"Lobster_data offers a no-code API management platform that simplifies the creation and integration of APIs, making it accessible even for non-IT staff. Their services ensure seamless data exchange and support various industries, enhancing operational efficiency and enabling rapid digital transformation."
Lobster,Madrid,,Spain,11-50 Employees,2018,"Lobster is a mobile telecommunications operator that provides tailored mobile plans with unlimited calls and texts, targeting British expatriates and English speakers in Spain since 2018. They offer various data packages and emphasize a customer-centric experience with services available entirely in English."
Boston Lobster Company,Boston,,United States,11-50 Employees,1986,"Boston Lobster Company is a leading distributor of live lobsters, offering a variety of both hard-shell and soft-shell lobsters, ensuring quality and availability year-round. Their efficient shipping from a facility near Logan International Airport allows for fresh deliveries, making them a reliable source for lobster."
Lobsterdamus,Los Angeles,,United States,11-50 Employees,2014,"Lobsterdamus is a food service provider that specializes in grilling and serving live Maine lobsters, creating a unique culinary experience at events like night markets. Since its establishment in 2014, the company has become a festival favorite, offering high-quality seafood that highlights traditional family recipes."
