name,city,state,country,employees,founded,description
SunVit-D3 Limited,Epping Forest,,United Kingdom,1-10 Employees,2011,"SunVit Pro offers a range of high-quality Vitamin D3 supplements, including tablets, capsules, and liquid preparations, all manufactured in the UK under strict GMP guidelines. Regular intake of SunVit-D3 can enhance long-term wellbeing, making it a great option for those seeking to boost their vitamin D levels."
Care/of,New York,,United States,51-100 Employees,2016,Vitamin D is highlighted as essential for general wellness and supporting bone health. The company offers premium vegetarian capsules that are gentle enough to take on an empty stomach.
Viridian Nutrition,Daventry,,United Kingdom,11-50 Employees,1999,"Viridian Nutrition highlights the importance of Vitamin D, often called 'the sunshine vitamin,' which is produced in the skin through sunlight exposure. They emphasize that during winter, obtaining sufficient Vitamin D becomes challenging, making supplements a valuable source to fill that gap."
Nature's Way,Green Bay,,United States,501-1000 Employees,,Nature's Way® offers a Vitamin D3 supplement that supports healthy bones and immune function. The company is known for its commitment to quality and efficacy in dietary supplements and vitamins.
Ancient Nutrition,United States,,United States,101-250 Employees,2016,"Ancient Nutrition offers a range of dietary supplements, including Vitamin D, which is designed to enhance health through superfoods. Their commitment to science-backed formulas ensures effective absorption and meaningful results for consumers."
XYMOGEN,Orlando,,United States,251-500 Employees,1991,"XYMOGEN offers a high-potency Vitamin D3 supplement, providing 5000 IU per serving, which supports immune function, bone health, and overall wellness. Their commitment to quality and collaboration with healthcare practitioners ensures the effectiveness of their nutraceutical products."
Curtis Health Caps,Przeźmierowo,,Poland,251-500 Employees,1989,"Curtis Health Caps (CHC) specializes in the development and manufacturing of pharmaceutical products, including food supplements like Vitamin D3. With a focus on quality and comprehensive services, CHC ensures high standards in production and formulation support."
Protein World Ltd.,London,,United Kingdom,51-100 Employees,2013,"Protein World offers Organic Vitamin D, a plant-based formulation that is ideal for vegans and vegetarians. This product provides vitamin D, known as the Sunshine Vitamin, and is certified by the Soil Association, ensuring high quality and environmentally friendly packaging."
1st Phorm,St. Louis,,United States,251-500 Employees,2008,"1st Phorm offers a liposomal Vitamin D3 supplement, highlighting its importance for health, especially when sunlight and dietary sources may be insufficient. Their commitment to quality and rigorous testing ensures an effective product that supports overall wellness."
NatureWise,Costa Mesa,,United States,11-50 Employees,2012,"NatureWise offers a Vitamin D3 1,000 IU subscription, promoting it as ""Your Daily Dose of Sunshine,"" which highlights its commitment to supporting health and well-being through natural supplements."
