name,city,state,country,employees,founded,description
Hall Cross Academy,Doncaster,,United Kingdom,1001-5000 Employees,1350,"ICA-Perform is dedicated to enhancing the Performing Arts curriculum at Hall Cross Academy, offering a diverse range of educational programs that engage students both during and outside of school hours. This initiative aims to provide an inclusive and balanced curriculum, fostering creativity and excellence in the Performing Arts."
Count Basie Center for the Arts,Red Bank,,United States,51-100 Employees,1926,"The Count Basie Center for the Arts is dedicated to enriching the community through a variety of performing arts, including theater performances and live music events. Their focus on arts education and collaboration with local organizations enhances access to cultural experiences."
Ambassador Theatre Group,Woking,,United Kingdom,5001-10000 Employees,,"ATG is a prominent live entertainment company that specializes in theatre production and operates nearly 50 venues, including historic West End theatres and Broadway locations. It showcases a diverse array of performances, selling over 11 million tickets annually for musicals, plays, concerts, and more, and has received numerous awards for its productions."
RWS Entertainment Group,New York,,United States,1001-5000 Employees,2003,"RWS Entertainment Group specializes in producing extraordinary entertainment and live events, including Broadway-style shows and immersive exhibits. They offer a diverse selection of performers, ensuring high-quality acts that can elevate any event."
Theatre Projects,New York,,United States,51-100 Employees,1957,"Theatre Projects specializes in theatre consulting and venue planning, with over 60 years of experience enhancing spaces for the performing arts. Their expertise includes performance technology and strategic planning, making them a key player in designing immersive environments for various venues."
Performing Medicine,London,,United Kingdom,1-10 Employees,,"Performing Medicine is a service provider that integrates performing arts, such as theatre and dance, into training for healthcare professionals to enhance their skills in compassionate care. With over 20 years of experience, they offer a variety of courses and workshops that foster creativity and adaptability in healthcare settings."
Theatre,United Kingdom,,United Kingdom,1-10 Employees,,"The company specializes in performing arts, offering workshops in theatre, writing, and performance, particularly focusing on youth theatre practices. Joseph Ballard, a performer and playwright based in Norwich, leads initiatives such as Shakespeare workshops and music hall projects."
Norwich Theatre,Norwich,,United Kingdom,51-100 Employees,1768,"Norwich Theatre is a prominent arts organization in the UK, dedicated to providing a diverse array of live performances, including theatre, ballet, opera, and musicals. As the largest theatre in the region, it emphasizes community engagement and education through its rich programming and partnerships."
Queensland Performing Arts Centre (QPAC),Greater Brisbane,,Australia,501-1000 Employees,1977,"The Queensland Performing Arts Centre (QPAC) is a leading venue for live performances, hosting a diverse array of events including theatre, music, and dance, which fosters community engagement and cultural education. With over 1,200 performances annually and a commitment to supporting both established and emerging artists, QPAC plays a vital role in enhancing Queensland's vibrant arts scene."
Stage Entertainment,Amsterdam,,Netherlands,1001-5000 Employees,1998,"Stage Entertainment is a prominent musical theatre production company that specializes in live performances, showcasing both renowned licensed musicals like Disney’s The Lion King and original productions such as TINA – The Tina Turner Musical. With a strong presence in 16 world-class theatres across Europe and the United States, the company is dedicated to delivering exceptional entertainment experiences to diverse audiences."
