name,city,state,country,employees,founded,description
HAVI,Downers Grove,,United States,10001+ Employees,1974,"HAVI is a global company that plays a crucial role in connecting various elements of the supply chain, including packaging solutions. They have expanded their services to include supply and demand planning, which is essential for effective packaging and distribution."
Pitreavie Packaging,Glenrothes,,United Kingdom,51-100 Employees,2009,"The company specializes in manufacturing a wide range of corrugated boxes, including those designed for automated packing lines, which can streamline the packaging process by reducing the time spent on taping and sealing. They emphasize innovation in packaging design, focusing on creating durable, lightweight, and environmentally friendly products that can lead to cost savings and improved brand reputation."
MM Packaging,Vienna,,Austria,5001-10000 Employees,1898,"MM Packaging is a specialized manufacturer in packaging and printing services, serving both large volume and premium markets."
Packhelp,Warsaw,,Poland,251-500 Employees,2015,"Packhelp is a leading supplier of custom packaging that emphasizes sustainability and transparency in its supplier network. They offer the ability to design and order environmentally-conscious packaging online, providing flexible solutions for businesses looking to create branded boxes that resonate with eco-conscious consumers."
Premier Packaging LLC,Louisville,,United States,1001-5000 Employees,1994,"Premier Packaging offers innovative packaging solutions, emphasizing their commitment to understanding clients' business models and reducing environmental impact. Their approach combines curiosity and collaboration, positioning them as problem-solvers in the packaging industry."
Empowera Technorganics Private Limited,India,,India,11-50 Employees,1982,"Empowera, a leading manufacturer of emulsions and adhesives, produces solutions specifically for the packaging industry, among others. Their focus on water-based adhesives and coatings enhances production and process efficiency for their customers."
Westbury Packaging Ltd,Melksham,,United Kingdom,51-100 Employees,1983,"The company is a leading packaging designer and corrugated box manufacturer, offering a wide range of bespoke and off-the-shelf packaging solutions. They emphasize high-quality, protective, and visually appealing packaging, as demonstrated by their tailored designs for premium products like those from Farrow & Ball."
Packsize International,United States,,United States,251-500 Employees,2002,Packsize addresses the critical packaging issue of excessive packaging by offering sustainable On Demand Packaging® solutions that reduce the need for pre-made boxes. This approach not only lowers costs and enhances operational efficiency but also minimizes unnecessary carbon emissions and waste.
S.T. Projects B.V.,Amersfoort,,Netherlands,11-50 Employees,2002,"S.T. Projects BV specializes in components and installations for the treatment of dry substances and fluids, offering solutions that include bulk storage systems and big-bag handling solutions. Their expertise in solids technology and material handling positions them well to address specific production requirements in mechanical or industrial engineering contexts, making them a relevant player in the packaging sector."
Container and Packaging,Eagle,,United States,101-250 Employees,1971,"The company offers a wide range of packaging solutions tailored to various industries, emphasizing their extensive inventory and logistical expertise built over 50 years. They prioritize understanding customer needs to provide creative and effective packaging options, making them a valuable resource for businesses in sectors like food and personal care."
