name,city,state,country,employees,founded,description
Trademark Metals Recycling,Tampa,,United States,501-1000 Employees,,"Trademark Metals Recycling, LLC (TMR) is a prominent player in the metal recycling industry, operating 22 facilities throughout Florida. They specialize in purchasing ferrous and non-ferrous scrap, including household items and vehicles, and provide comprehensive scrap management services for various businesses."
General Recycling Industries Ltd.,Edmonton,,Canada,51-100 Employees,1976,"The company emphasizes its commitment to effective recycling practices, particularly in scrap metal recycling, to meet industry demands and protect the environment. With over 45 years of experience, they utilize innovative technologies and sustainable processes to enhance the efficiency of their recycling operations and reduce carbon footprints."
Real Alloy,Cleveland,,United States,1001-5000 Employees,,"REAL ALLOY is a leading company in the aluminum recycling industry, specializing in converting aluminum scrap into reusable materials through innovative and efficient processes. Their full-service metal recycling solutions and advanced furnace systems highlight their commitment to maximizing the economic value of aluminum recycling."
Scrap Metal Services LLC.,Burnham,,United States,501-1000 Employees,2005,"Scrap Metal Services, LLC (SMS) is dedicated to metal recycling, offering comprehensive scrap management and logistics services. They specialize in processing and recycling both non-ferrous and ferrous metals, contributing to sustainability and the prevention of raw material depletion."
Advance Recycling Solutions LLP,New Delhi,,India,251-500 Employees,2018,"Advance Recycling Solutions LLP specializes in advanced waste management machines that efficiently process various scrap materials, including ferrous and non-ferrous metals. Their range of manual and fully automatic PLC-controlled systems caters to diverse industry needs, making them a key player in metal scrap processing."
SA Recycling,United States,,United States,1001-5000 Employees,1973,"SA Recycling is an industry leader in metal recycling, operating over 140 recycling centers that handle both ferrous and non-ferrous materials. The company is committed to environmental sustainability, recognizing that recycling reduces the need for mining and lowers production costs for metal manufacturers."
Triple M Metal,Brampton,,Canada,501-1000 Employees,1975,"Triple M Metal LP, a prominent player in the metal recycling industry, operates 44 facilities across North America and has a strong commitment to sustainable metal management solutions. Their comprehensive scrap metal recycling process transforms discarded metals into valuable raw materials, addressing environmental challenges and promoting the recyclability of steel and other metals."
S A Metal Group,Durban,,South Africa,1001-5000 Employees,1919,"SA Metal Group is South Africa's leading metal recycler, dedicated to environmentally responsible practices in metal recycling. With a long tradition of trading across Southern Africa, they provide quality-controlled processed scrap metals and innovative waste removal solutions."
OmniSource México,Monterrey,,Mexico,1001-5000 Employees,1980,"The company is a leader in the collection and purchase of scrap metal, emphasizing its commitment to recycling and reducing industrial waste, which aligns with the principles of metal recycling."
Action Metals Recyclers Dallas TX,Dallas,,United States,11-50 Employees,1994,"Action Metals Recyclers is a licensed facility that actively purchases and processes both ferrous and non-ferrous scrap metal, diverting millions of tons from landfills each year. They serve a diverse clientele, providing top scrap prices and ensuring that recycled metals are supplied to steel mills, foundries, and smelters globally."
