name,city,state,country,employees,founded,description
Libo Cosmetics,Taichung,,Taiwan,,,"The company specializes in providing comprehensive solutions for cosmetic packaging, including innovative and high-quality designs for lip gloss. Their commitment to customer success and sustainable practices positions them as a leader in the beauty industry, ensuring that products are well-protected and aesthetically appealing."
Glossier Inc.,New York,,United States,251-500 Employees,2014,"Glossier offers a lip gloss that provides a glossy, glassy finish without any grit or goop, making it an accessible and uncomplicated beauty choice."
Mary Kay Global,Addison,,United States,10001+ Employees,1963,Mary Kay Inc. specializes in cosmetics and offers a variety of lip gloss products as part of its extensive beauty collection. Their lip glosses are designed to enhance beauty and are available exclusively through Independent Beauty Consultants.
Avon,Northampton,,United Kingdom,10001+ Employees,1886,"Avon offers the Mark Show Glow Glass Lip Gloss, an ultra-reflective lip product that enhances your makeup look. With a commitment to innovation and trends, Avon provides a diverse range of beauty products, making it a go-to for lip gloss enthusiasts."
SUGAR Cosmetics,Mumbai,,India,1001-5000 Employees,2012,"SUGAR Cosmetics offers a diverse range of lip products, including the Time To Shine Lip Gloss, designed for bold and independent women. Their commitment to high-performance, cruelty-free cosmetics ensures that there are options for every style and preference."
Bluemercury,Washington,,United States,501-1000 Employees,1999,"Bluemercury offers Laura Mercier Lip Glace, a high-shine lip gloss known for its rich, long-lasting color that enhances the appearance of fuller lips."
Anastasia Beverly Hills,Beverly Hills,,United States,51-100 Employees,1997,"Anastasia Beverly Hills offers a diverse collection of lip glosses designed to provide maximum shine and a luminous finish, perfect for achieving a radiant look. Their lip gloss range features universal neutrals and innovative formulas that enhance the lips with irresistible luster."
Classic Cosmetics,Los Angeles,,United States,11-50 Employees,1988,"Classic Cosmetics Inc. is a leading contract manufacturer of high-quality color cosmetics, including lip gloss. Their expertise in formulations and commitment to personalized service ensure that they can meet diverse needs from concept to launch."
Apotheca Beauty,Kuwait,,Kuwait,51-100 Employees,2013,"The company offers a diverse Lip Gloss collection by Anastasia Beverly Hills, featuring universal shades that provide long-lasting, glass-like shine with a weightless, non-sticky formula. Their glosses are designed for easy application and can be worn alone or layered for added dimension, making them a great choice for achieving a fuller lip look."
Beauty 21 Cosmetics Inc.,Ontario,,United States,251-500 Employees,1985,"L.A. Girl Cosmetics offers a Lip Oil Nourishing Gloss, highlighting their commitment to innovative and high-quality beauty products for makeup enthusiasts."
