name,city,state,country,employees,founded,description
ArcBest Corporation,Fort Smith,,United States,10001+ Employees,1923,"ABF Freight, a service provider under ArcBest®, offers specialized flatbed trucking services that ensure seamless shipping to various locations, including job sites and residential areas. Their extensive network provides access to a range of flatbed equipment and dedicated account management, making them well-equipped to handle diverse shipping challenges across the U.S., Canada, and Mexico."
Blue-Grace Logistics,Riverview,,United States,251-500 Employees,2007,"BlueGrace Logistics specializes in flatbed trucking, offering a comprehensive range of flatbed freight services and expert support to optimize transportation for specialized industries. Their extensive network and modern procurement strategies ensure reliable capacity and competitive rates, making it easier for businesses to manage their flatbed shipping needs effectively."
RIMS Transport,Hamilton,,Canada,501-1000 Employees,1955,"TransportCorp has over 50 years of experience providing flatbed trucking services primarily across Ontario, Quebec, and the Northeastern United States. Their growing fleet and experienced team ensure safe and efficient transportation for various products, including steel and construction materials."
TMC Transportation,Des Moines,,United States,1001-5000 Employees,1972,"TMC Transportation specializes in flatbed trucking, offering comprehensive services for hauling various freight types like building materials and machinery. With a large fleet and a commitment to advanced technology and safety, TMC is recognized as the largest employee-owned flatbed carrier in the U.S."
"International Transport Systems, Inc.",Glen Ellyn,,United States,11-50 Employees,1998,"Flatbed.one is a specialized transportation service provider with over 20 years of experience in flatbed trucking, offering a variety of trailers, including standard flatbeds and lowboys, for the effective shipment of equipment and machinery across the U.S. and Canada. They ensure competitive rates, on-time delivery, and handle both full and partial shipments, making them a reliable choice for diverse transportation needs."
HMD LLC,Gary,,United States,11-50 Employees,2017,"The company, HMD LLC, specializes in flatbed trucking services, providing efficient solutions for transporting goods. They offer competitive pay and emphasize the importance of their drivers, ensuring a supportive environment for those in the flatbed trucking sector."
LinQ Transport,Bedford,,United States,51-100 Employees,1996,"LinQ Transport specializes in flatbed trucking, offering a variety of flatbed trailer options to meet diverse shipping needs across the United States, Mexico, and Canada. Their extensive flatbed trucking network ensures competitive rates and a streamlined process from booking to delivery."
George Hildebrandt Inc.,City of Hudson,,United States,51-100 Employees,1943,"The company specializes in flatbed trucking, offering reliable logistics and transportation services primarily in the Northeast and Mid-Atlantic regions. With a commitment to safety and advanced tracking technology, it ensures that shipments arrive on time and in excellent condition, making it a strong choice for flatbed transportation needs."
Q-Line Trucking Ltd,Saskatoon,,Canada,1001-5000 Employees,1994,"Q-Line Trucking specializes in transportation solutions, offering a range of flatbed services, including Full Truckload (FTL) and Less Than Truckload (LTL) options, as well as specialized deck services. Their expertise in heavy haul and over-dimensional transport underscores their capability to handle major projects across the USA and Canada."
RJ Logistics,Southfield,,United States,51-100 Employees,2008,"RJ Logistics is a specialized third-party logistics provider that offers flatbed trucking services, among others. The company emphasizes prompt service, safety, and efficient delivery, making it a reliable choice for transportation solutions."
