name,city,state,country,employees,founded,description
ELB Learning (formerly eLearning Brothers),American Fork,,United States,501-1000 Employees,2009,"ELB Learning emphasizes its commitment to enhancing learning experiences through custom eLearning solutions and comprehensive training programs. Their offerings include a range of products and services designed to meet diverse training needs, making them a valuable partner for businesses looking to innovate and improve their learning strategies."
eLearning Marketplace Ltd,Newbury,,United Kingdom,1-10 Employees,2013,"The eLearning Marketplace is the UK's largest provider of immediate access online training, serving notable customers like the NHS and the Armed Forces. With a focus on blended and virtual learning solutions, they offer a secure and user-friendly platform for various stakeholders, including educational institutions and individual learners, to access accredited e-learning courses."
المركز الوطني للتعليم الإلكتروني | National eLearning Center,Al Ahsa Governorate,,Saudi Arabia,251-500 Employees,2018,"The National eLearning Center specializes in e-learning solutions and services, focusing on developing digital education technologies that enhance online learning experiences."
edureka!,Bengaluru,,India,251-500 Employees,2011,"The company offers a global online learning ecosystem for continuing education, providing high-quality instructor-led live online courses for working professionals."
ELC eLearning College,City of Gloversville,,United States,251-500 Employees,2017,"eLearning College is a prominent provider of distance learning education, offering a variety of accessible and affordable online courses. Their programs are ideal for individuals looking to enhance their careers or explore new interests."
Managing Director,United Kingdom,,United Kingdom,501-1000 Employees,2002,e-Careers is a leading Edtech institution that revolutionizes the training industry through innovative online learning solutions. They offer a wide range of accredited courses and professional qualifications designed to support career development and address skill gaps in a flexible and accessible manner.
EDITORIAL eLEARNING,Málaga,,Spain,51-100 Employees,2010,"The company specializes in the development and adaptation of high-impact e-learning content and is a leading provider of vocational training for employment. They offer tailored e-learning solutions for businesses and training organizations, including content creation and a catalog of training specialties."
Edrona Learning,Ernakulam,,India,51-100 Employees,,"Edrona offers a wide range of e-learning opportunities, including online classes, job-ready certificates, and degree programs, aimed at fostering continuous learning and growth. Their platform features trending courses in various subjects, making it a comprehensive resource for individuals and institutions looking to enhance their skills and knowledge."
eLearning 23,Dhaka,,Bangladesh,251-500 Employees,,"eLearning 23 specializes in designing and developing customized Learning Management Systems (LMS) using the Moodle™ platform, enhancing the e-learning experience through seamless integration with mobile applications and collaboration tools. Their services focus on creating user-friendly and engaging online learning environments tailored to educational needs."
eLearning Media,Tomares,,Spain,11-50 Employees,2009,"eLearning Media has significantly enhanced our ability to deliver our entire academic offering securely and efficiently, providing a top-notch learning experience. They are official partners of various online training platforms and offer solutions for online assessment and videoconferencing for education."
