name,city,state,country,employees,founded,description
Lead Shine International Limited,Shenzhen,,China,11-50 Employees,2008,"The company specializes in digital signage solutions, offering a wide range of products including wall-mounted displays, interactive flat panels, and LCD video walls. They emphasize high quality and customization to meet specific customer needs."
ScreenCloud,London,,United Kingdom,101-250 Employees,2015,"The company specializes in digital signage solutions, leveraging cloud computing and SaaS technologies to empower marketing teams to manage content independently. With a focus on user-friendly software, they support over 9,000 customers in creating effective and engaging digital displays."
Tanner Werbetechnik AG,Grabs,,Switzerland,11-50 Employees,,"The company offers comprehensive advertising and communication solutions, including efficient digital signage processing as part of their services."
Digital Screen Displays,Ireland,,Ireland,11-50 Employees,2009,"Digital Screen Displays offers a diverse range of digital signage solutions, including small screens, electronic billboards, kiosks, and interactive wayfinders. With years of experience and a commitment to innovative, high-quality digital solutions, the company empowers businesses to enhance their online presence and drive engagement."
AVI-SPL UK & Ireland,Rushmoor,,United Kingdom,1001-5000 Employees,1979,"The company specializes in providing digital signage solutions, including video walls and interactive experiences, designed to enhance engagement and drive sales. Their offerings encompass content design and viewer analytics, ensuring effective communication and collaboration through advanced AV and unified communications technology."
Digital Signage Today,Louisville,,United States,11-50 Employees,,"The company, through DigitalSignageToday.com, offers a comprehensive Supplier Directory and marketing opportunities specifically for digital signage."
DC Media SA (Pty) Ltd,South Africa,,South Africa,11-50 Employees,2011,"The company specializes in digital signage, offering training on LG SuperSign and the DC Media Digital Signage CMS systems, backed by 23 years of industry experience. They provide a wide range of products, including interactive video walls and outdoor LED screens, ensuring that clients can find the right system to meet their needs."
CombiTel (Australia),Melbourne,,Australia,11-50 Employees,2005,"CombiTel specializes in designing and deploying complete IPTV systems and bespoke software, which includes their innovative product, Omniscreen Pilot. Their focus on technology and continuous innovation positions them as a key player in providing advanced digital signage solutions."
Mvix,Sterling,,United States,101-250 Employees,2005,"Mvix specializes in providing digital signage solutions, emphasizing the ease of implementation and cost-effectiveness of their platform. Their digital menu boards enhance engagement and promote healthier choices, making them a valuable resource for businesses looking to maximize their digital signage performance."
Sia Interactive,Buenos Aires,,Argentina,251-500 Employees,1992,"SIA Interactive specializes in digital signage, developing innovative products and services that enhance the experience in various settings like retail and corporate buildings. Their expertise is highlighted through successful implementations, such as optimizing WeWork environments in Argentina, Chile, and Colombia."
