name,city,state,country,employees,founded,description
Nomad Foods,London,,United Kingdom,1001-5000 Employees,2015,"Nomad Foods is the largest frozen food company in Europe, owning well-known brands like Birds Eye, Findus, and iglo. They offer a diverse range of branded frozen food products across 13 European countries, emphasizing their commitment to high-quality frozen meals."
Wiltshire Farm Foods,United Kingdom,,United Kingdom,501-1000 Employees,1991,"The company has been providing a wide variety of over 340 delicious frozen meals for more than 30 years, with free delivery straight to your door. Their dedicated local teams ensure a reliable service, contributing to a positive experience for thousands of satisfied customers."
Bellisio Foods,Minneapolis,,United States,1001-5000 Employees,1990,"Bellisio Foods, Inc. is a prominent manufacturer of frozen meals, featuring a wide range of products under well-known brands such as Michelina’s and Boston Market. The company emphasizes high-quality, innovative frozen food solutions, including single-serve and multi-serve meals, catering to both retail and foodservice markets."
HelloFresh,Berlin,,Germany,10001+ Employees,2011,"HelloFresh is a prominent meal kit delivery service that provides high-quality, nutritious meals directly to customers, featuring over 30 fresh recipes each week. Their focus on carefully sourced ingredients and culinary inspiration may appeal to those interested in convenient meal options."
MuscleFood,Nottingham,,United Kingdom,251-500 Employees,2012,"The company specializes in healthy meal delivery services, offering a variety of nutritious, chef-created frozen meals and snacks that are ready in minutes. With a focus on customer satisfaction and innovative product development, the company aims to provide convenient, high-protein meal options that support health and fitness goals."
Youfoodz,Virginia,,United States,501-1000 Employees,2012,"The company offers healthy, ready-made meals delivered directly to customers' doors, focusing on fresh options that support healthy living and weight loss. Their service provides the convenience of easy meal preparation, with options to pause or cancel deliveries as needed."
Hearthside Food Solutions,Downers Grove,,United States,10001+ Employees,2009,"Hearthside Foods is a prominent contract manufacturer that specializes in a variety of food products, including frozen entrees. With dedicated facilities inspected by the USDA and FDA, the company ensures high-quality production for leading brands in the frozen food market."
Goodfood,Calgary,,Canada,1001-5000 Employees,2014,"Goodfood is a leading Canadian meal kit service that delivers perfectly portioned, farm-fresh ingredients and original recipes right to your door. This approach not only promotes sustainability but also makes it easy for customers to enjoy delicious meals at home."
apetito UK,United Kingdom,,United Kingdom,5001-10000 Employees,,"apetito specializes in producing a variety of nutritious frozen ready meals, including options tailored for individuals with swallowing difficulties. Their offerings cater to healthcare settings, schools, and local authorities, ensuring accessible and delicious meal solutions for diverse populations."
Oerlemans Foods Nederland B.V.,Venlo,,Netherlands,501-1000 Employees,1977,"Oerlemans Foods offers a variety of ready meals, highlighting their focus on convenient frozen meal options."
