name,city,state,country,employees,founded,description
Societe Generale Corporate and Investment Banking - SGCIB,Nanterre,,France,10001+ Employees,1864,"The company specializes in investment banking, offering a comprehensive range of services that includes strategic advisory, capital raising, and structured financing. With a focus on delivering integrated solutions and leveraging advanced technologies, it meets the unique financial needs of corporate and financial institution clients."
Standard Bank Corporate and Investment Banking,Johannesburg,,South Africa,5001-10000 Employees,,"The company, Standard Bank, specializes in financial services across Africa and has a dedicated Investment Banking division that provides comprehensive insights and expertise to unlock opportunities and mitigate risks for its clients."
Prime Bank Investment Ltd.,Dhaka,,Bangladesh,251-500 Employees,2010,"Prime Bank Investment Limited (PBIL) specializes in investment banking, offering tailored solutions in capital raising, corporate advisory, and wealth management. Their expert team provides market updates and research materials, ensuring a deep understanding of clients' needs to deliver innovative financial solutions."
InvestmentBank.com,United States,,United States,11-50 Employees,2015,"The company, InvestmentBank.com, boasts a team of experienced investment bankers who have successfully completed numerous M&A and capital raising deals. They emphasize their entrepreneurial mindset and commitment to doing what is right for clients, ensuring dedicated support throughout the investment banking process."
RF Bank & Trust,New Providence,,Bahamas,51-100 Employees,1997,"RF is a regional private bank that specializes in investment banking, offering a range of financial products and services designed to help clients achieve their investment goals and manage their wealth effectively."
Axis Bank,Mumbai,,India,10001+ Employees,1994,"Axis Bank is a key player in the Indian banking sector, offering a wide array of financial services, including investment banking, M&A advisory, and debt syndication. With a focus on tailored solutions, the bank serves various customer segments and has a strong international presence."
Standard Bank Malawi,Lilongwe,,Malawi,501-1000 Employees,1969,"Standard Bank Malawi offers a range of Corporate and Investment Banking services, providing expert guidance and innovative support to help clients achieve their financial goals. Their experienced team connects clients with opportunities that can enhance growth across Africa."
Greenwich Merchant Bank,Nigeria,,Nigeria,251-500 Employees,1992,"Greenwich Merchant Bank (GMB) is a prominent merchant bank in Nigeria that specializes in high-end financial products and services, indicating a strong focus on investment banking. Their commitment to professionalism and cutting-edge technology enhances their ability to deliver top-class investment banking solutions to a select clientele across both private and public sectors."
Bank of America Merrill Lynch,San Francisco,,United States,10001+ Employees,1992,"The company offers a comprehensive suite of financial services, including advisory and debt and equity underwriting, particularly targeting middle market companies with revenues between $50 million and $2 billion."
Batlivala & Karani Securities,Mumbai,,India,251-500 Employees,,"Batlivala & Karani Securities India Pvt. Ltd. specializes in investment banking, offering services such as fund raising, corporate insurance advisory, and enterprise valuation. The company also provides comprehensive research and trading services, supporting both institutional investors and Indian businesses with strategic financial solutions."
