name,city,state,country,employees,founded,description
Christoph Bornebusch GmbH & Co. KG,Siegen,,Germany,,,"Bornebusch is a leading supplier of semi-finished products and precision-machined parts made of non-ferrous metals and steel. With decades of expertise, we are your reliable partner for slide bearings, finished components, and everything related to non-ferrous metals and steels."
FILTO PROFILES S.L.,Vallirana,,Spain,,,"Brass Profiles Standard & Special Shapes. Best Quality and Price, Worldwide Delivery."
Wieland Group,Ulm,,Germany,5001-10000 Employees,1820,"Wieland-Werke AG is a leading supplier of semi-finished products made from copper and copper alloys, including brass alloys. Their diverse product range supports various industries, emphasizing innovation and sustainability."
Meera Brass Products,Jamnagar,,India,11-50 Employees,1999,"The company, Meera Brass Products, specializes in manufacturing a wide range of brass components, including brass inserts, stop plugs, lock nuts, and fittings, ensuring high quality and adherence to customer specifications. They have been in the brass industry since 1999 and are ISO 9001:2015 certified, highlighting their commitment to precision and defect-free production."
Bright Brass & Metal Painting Co.,Hialeah Gardens,,United States,11-50 Employees,1986,"Bright Brass is a specialized manufacturer and service provider with over 25 years of experience in architectural refurbishing and electrostatic painting. They offer a variety of services, including metal restoration, which is particularly relevant to the query about ""brass."""
BRASSOFORGE,Faridabad,,India,251-500 Employees,1981,"Brassoforge® is a leading manufacturer and supplier of forged and machined components, including those made from brass. With a commitment to quality and stringent testing, the company ensures its products meet customer requirements, supported by competitive pricing and reliable delivery."
RAJHANS METALS PVT LTD,Jamnagar,,India,251-500 Employees,1988,"Rajhans, a leading manufacturer of brass extrusion, produces around 18,000 MT per annum, establishing a strong reputation in the industry. The company emphasizes quality and timely delivery, offering a wide range of customized brass products."
Brass Copper Fittings & Components Ltd,Jamnagar,,India,251-500 Employees,1988,"Brass Components India specializes in manufacturing a wide range of brass products, including fittings and components, for over 27 years. Their expertise ensures high-quality brass items, which are exported to various quality-conscious markets."
EQI,Norton,,United States,101-250 Employees,2004,"EQI specializes in high-quality metal castings and fabrications, making it a key partner for those in need of brass and other metal products. With their global foundry network and metallurgical expertise, EQI effectively mitigates supply chain risks, ensuring timely delivery and cost containment for demanding OEMs."
thyssenkrupp Materials NA,Southfield,,United States,1001-5000 Employees,,"The company, thyssenkrupp Materials NA, offers a comprehensive range of copper and brass products as part of its extensive inventory, ensuring that customers have access to various non-ferrous metals. Their focus on integrated supply chain solutions and value-added processing services supports customers' production needs effectively."
