name,city,state,country,employees,founded,description
PT Primacom Interbuana,Special capital Region of Jakarta,,Indonesia,501-1000 Employees,1991,"PT Primacom Interbuana (Primacom) is a prominent communication solution provider in Indonesia, specializing in satellite communication services through Very Small Aperture Terminals (VSAT). With over 30 years of experience, Primacom is committed to delivering high-quality, tailored communication services that meet international standards, making it a key player in the satellite communication sector."
SpeedCast,Houston,,United States,501-1000 Employees,1983,"Speedcast is a leading global satellite communications service provider, offering a multi-band satellite network that ensures extensive bandwidth and reliable connectivity across oceans and challenging coastlines. With over 20 years of experience, Speedcast delivers high-speed satellite solutions tailored to the diverse needs of customers, particularly in the maritime sector, enhancing operational efficiency and competitive advantage."
Master Systems,Dubai,,United Arab Emirates,251-500 Employees,1999,"Master Systems specializes in satellite communication, offering VSAT services and ensuring reliable connectivity with full geographical coverage of major ports in the Middle East. Their expertise in marine electronics and partnerships with reputable manufacturers highlight their commitment to innovative communication solutions."
Satcom Resources,Avon,,United States,11-50 Employees,2000,"Satcom Resources is a specialized organization in satellite communications, providing comprehensive training and solutions that ensure proficiency in equipment installation and maintenance. With over 20 years of experience, they offer BLOS satellite solutions and sustainment services to guarantee continuous connectivity and equipment uptime for various communication needs."
Hughes Television Network,Gurugram,,India,501-1000 Employees,1992,"Hughes Communications India specializes in mobile satellite systems and terminals, enhancing connectivity solutions in the Indian market."
General Dynamics Mission Systems,United States,,United States,10001+ Employees,1952,"General Dynamics Mission Systems offers Satellite Communication Services, providing access to commercial communication products and services that address critical security and technology challenges."
Gilat Satellite Networks,Drom HaSharon Regional Council,,Israel,1001-5000 Employees,1987,"Gilat Satellite Networks is a prominent provider of satellite-based broadband communications, focusing on delivering reliable and secure SATCOM solutions. The company's strategy emphasizes increasing its presence in the defense SATCOM market and addressing modern challenges like multi-orbit constellations and cybersecurity."
Get SAT,Rehovot,,Israel,51-100 Employees,2013,"GetSat is revolutionizing satellite communication on the move with its cutting-edge technology, including a Ka-band phased array antenna that ensures reliable communication for space-limited applications. Their products cater to various technical needs and offer customized solutions, positioning them as a leader in the dynamic SATCOM market."
Algérie Télécom Satellite,Alger-Centre,,Algeria,251-500 Employees,2006,"Algérie Télécom Satellite is a key player in the satellite telecommunications market in Algeria, offering a range of services including high-speed internet and video conferencing. With operational licenses in VSAT and GMPCS, the company is well-equipped to deliver advanced satellite communication solutions to various sectors."
Cobham Satcom,Kongens Lyngby,,Denmark,501-1000 Employees,1972,"Cobham SATCOM is a prominent manufacturer of satellite communication solutions, offering high-performance systems such as VSAT terminals and broadband on-the-move, designed for both maritime and terrestrial applications. With over 70 years of experience, the company ensures reliable connectivity in the most challenging environments, making it a key player in the future of satellite communications."
