name,city,state,country,employees,founded,description
Arnav Enterprises,Mumbai,,India,1-10 Employees,2011,"Crickstore is a dedicated online retailer for cricket equipment, offering a diverse selection of high-quality products including English willow and Kashmir willow bats, helmets, gloves, pads, and essential accessories. With a commitment to competitive pricing and excellent customer service, Crickstore ensures that cricket enthusiasts have access to top brands and the best gear for their needs."
CRICKETERSHOP.COM,Sahibzada Ajit Singh Nagar,,India,11-50 Employees,2012,"Cricketer Shop is a premier online retailer that specializes in a wide range of cricket equipment and accessories for players of all levels. Their extensive inventory includes bats, pads, gloves, balls, and shoes from top brands, making it a go-to destination for cricketers worldwide."
All Cricket Gear,Sydney,,Australia,1-10 Employees,2015,"The company specializes in cricket gear and sports clothing, offering a wide range of products for cricket enthusiasts. They also provide custom uniforms and wholesale pricing for teams and sports clubs."
SM Cricket (UK) Ltd,South Kesteven,,United Kingdom,1-10 Employees,,"The company specializes in high-quality cricket equipment, offering a wide range of products such as handmade bats, pads, gloves, helmets, and more, with an emphasis on great prices and craftsmanship. As the official supplier of SM Cricket equipment, they highlight the importance of proper care and maintenance for bats to ensure optimal performance."
Kookaburra Sport,Melbourne,,Australia,51-100 Employees,1890,"Kookaburra Sport is a prominent manufacturer of cricket equipment, offering a wide range of products including cricket bats, balls, and protective gear. With over 130 years of experience, Kookaburra is known for its high-quality cricket gear, trusted by elite athletes, and provides expert guidance on bat care to ensure optimal performance."
Players Sports,Waitematā,,New Zealand,11-50 Employees,2012,"Players Sports offers a comprehensive selection of cricket equipment, including batting gloves, pads, helmets, and bags from top brands like Kookaburra and Gunn & Moore. Additionally, the company features a cricket bat workshop that provides professional craftsmanship and knocking-in services, enhancing the overall cricket experience for players."
ICON SPORTS UK LIMITED,Rochdale,,United Kingdom,11-50 Employees,2010,"ICON Sports Group UK specializes in custom sportswear and offers a range of high-quality team wear, which may include cricket equipment such as cricket bats. Their capability to handle both small and large orders ensures they can cater to various needs, including those of sports clubs and athletes."
Ram Cricket,Guildford,,United Kingdom,51-100 Employees,2005,"Ram Cricket specializes in designing, manufacturing, and retailing a wide range of cricket equipment, including training and playing products. They offer their own branded kits and essential items from respected manufacturers, providing cost-effective solutions for clubs, schools, and universities."
Dhir Enterprises,India,,India,51-100 Employees,,"Dhir Sporting Corporation is a prominent manufacturer of sports equipment, including cricket gear, under the brands DIXON CLUB and BOB. With a reputation for quality and a commitment to customer service, the company has established itself as a key player in the cricket equipment market."
Sporting Syndicate,India,,India,501-1000 Employees,1950,"Sporting Syndicate International Pvt Ltd is a leading manufacturer of sports goods in India, offering a diverse range of high-quality sports equipment, including a Pro Cricket Set. With a commitment to enhancing athletic performance and a focus on sustainability, the company produces over 5000 SKUs across various sports."
