name,city,state,country,employees,founded,description
3D People - 3D Printing Service,London,,United Kingdom,11-50 Employees,2017,"The company specializes in 3D printing, offering production-grade polymer components that help businesses bring unique designs to market quickly and efficiently. Their service caters to various industries, ensuring precise standards and timely delivery for both one-off designs and large batches."
3D Printing Industry,London,,United Kingdom,11-50 Employees,2012,"The company, 3D Printing Industry, is a leading source for news, events, jobs, and insights related to 3D printing and additive manufacturing."
3D Systems,Rock Hill,,United States,1001-5000 Employees,1986,"3D Systems has been a pioneer in the 3D printing industry since 1986, continuously advancing additive manufacturing innovation. Their focus on understanding production materials and evaluating them for additive manufacturing highlights their commitment to addressing design and production challenges."
3D Printing Tech,Clarkston,,United States,11-50 Employees,2014,"The company leverages its extensive experience in 3D printing technologies to develop tailored solutions for clients, offering large-scale FDM/FFF and SLS printing capabilities. Their services include 3D modeling, scanning, and print finishing, making them well-equipped to handle diverse 3D printing projects."
Get 3D,Municipality of Agios Dimitrios,,Greece,1-10 Employees,2016,"Get3D is a leading company in Greece that offers comprehensive solutions and products in the realm of 3D printing, along with 3D scanning and design. With one of the largest production facilities, they ensure rapid 3D printing services."
Sculpteo,Villejuif,,France,51-100 Employees,2009,"Sculpteo is a leading online 3D printing service that allows users to easily upload files and receive live quotes for their projects. Since its inception in 2009 and subsequent acquisition by BASF 3D Printing Solutions, Sculpteo has been at the forefront of additive manufacturing, enabling innovation with new materials and technologies for various industries."
Top 3D Shop Inc,Bakersfield,,United States,11-50 Employees,2013,"The company specializes in digital manufacturing integration, with a strong focus on 3D printing among other technologies. With expertise gained from integrating these solutions into over 10,000 businesses, they are well-positioned to recommend the right 3D printing equipment to enhance operational efficiency."
3D Prod - Impression 3D,Raon-l'Étape,,France,11-50 Employees,2005,"The company, 3D Prod, specializes in professional 3D printing and additive manufacturing, offering rapid prototyping and production of high-quality, precise models and functional prototypes. Their advanced 3D technologies enable efficient and cost-effective creation of both small series and tooling across various sectors."
3D Print Bureau,North Hertfordshire,,United Kingdom,1-10 Employees,2015,"The 3D Print Bureau offers a professional and efficient 3D printing service, utilizing advanced technologies to handle various inquiries. They specialize in high-quality Polyjet, FDM, DLP, and LS materials, making them well-equipped for both single parts and short production runs."
Print Big L.L.C,United Arab Emirates,,United Arab Emirates,11-50 Employees,,"The company specializes in 3D printing services, providing advanced printing solutions that cater to diverse client needs in manufacturing and design."
