name,city,state,country,employees,founded,description
Blue Line Industries,Abu Dhabi,,United Arab Emirates,51-100 Employees,1998,"The company is a leading distributor of sodium hydroxide, highlighting its commitment to understanding business needs and offering premium products. Their local manufacturing and expertise in the UAE position them well to serve customers in Asia and Africa effectively."
ibuychemikals.com,Chennai,,India,501-1000 Employees,2016,"Ibuychemikals emphasizes the importance of quality in chemicals, offering a variety of high-quality Sodium Hydroxide Pellets (NaOH) for laboratory use. Their commitment to timely delivery and a hassle-free sourcing experience makes them a reliable option for both small and bulk quantities of chemicals."
Life Supplies NV,Olen,,Belgium,11-50 Employees,2011,"Life SUPPLIES is a market leader in additives for the animal feed sector, offering a wide range of products, including sodium hydroxide."
Indenta Group,Mumbai,,India,51-100 Employees,1970,"Indenta Group is a prominent global provider of integrated solutions for the pharmaceutical and personal care industries, emphasizing sustainability and quality. They offer sodium hydroxide pellets, showcasing their commitment to delivering high-quality chemical products."
Mays Chemical Company,Indianapolis,,United States,51-100 Employees,1980,"Mays Chemical Company manufactures sodium hydroxide solution in-house, using domestically sourced, high-purity pellets. This addresses quality concerns faced by many manufacturers who rely on non-domestic feedstock."
Nouryon,Amsterdam,,Netherlands,1001-5000 Employees,2018,"Nouryon is a prominent manufacturer of essential chemical solutions, including potassium hydroxide, which is a chemically pure alkali. The company's focus on high-performing ingredients for various sectors highlights its commitment to innovation and sustainability in chemical production."
Abdullatif H. Abuljadayel & Sons CO.,Jeddah,,Saudi Arabia,251-500 Employees,1984,"The company, Abdullatif H. Abuljadayel & Sons Co, offers a 10% Sodium Hydroxide solution specifically designed for general analytical applications, ensuring high quality through rigorous control."
DCW,Mumbai,,India,1001-5000 Employees,1925,"DCW Limited is a manufacturer that produces Caustic Soda, also known as Sodium Hydroxide, along with a variety of other basic chemicals."
Lab Pro Inc,Sunnyvale,,United States,11-50 Employees,1979,"Lab Pro Inc. offers Sodium Hydroxide Tech Gran 10p, highlighting its commitment to simplifying inventory management and improving turnover."
HaloPolymer,Moscow,,Russia,1001-5000 Employees,2008,"HaloPolymer, OJSC is a significant producer of sodium hydroxide, also known as caustic soda, which is included in its range of inorganic chemicals. This highlights the company's capability to supply this essential chemical for various industrial applications."
