name,city,state,country,employees,founded,description
Millet Glass Industry,Mexico,,Mexico,1001-5000 Employees,1978,"The company specializes in the manufacturing of tempered glass, among other types, and has established itself as a leader in the North American market."
City Glass,Cairo,,Egypt,1001-5000 Employees,1986,"City Glass is committed to professional standards and offers premium products, which may include tempered glass."
FG Glass Industries Pvt. Ltd.,Mumbai,,India,251-500 Employees,2004,"FG Glass is a prominent manufacturer of architectural glass products, offering a range of solutions including curved tempered glass through their CURVESHIELD line, which utilizes advanced heat-treatment processes."
Dr Greiche Company,Alexandria,,Egypt,1001-5000 Employees,1985,"The company specializes in tempered glass, which is a type of safety glass that undergoes a controlled thermal process to enhance its strength and minimize injury upon breaking. Their commitment to exceeding international quality standards ensures that their tempered glass products meet both American and European safety regulations."
PG SmartGlass,South Africa,,South Africa,1001-5000 Employees,,"PG Smartglass® specializes in high-performance glass products, including Armourplate™ toughened glass, which offers excellent resistance to thermal stress and is suitable for applications like refrigerator and oven doors."
Decorative Glass,Cairo,,Egypt,1001-5000 Employees,1963,"The company specializes in glass fabrication and mass production, offering a variety of design solutions that may include tempered glass products. With a commitment to integrating the latest technologies and enhancing safety, it aims to inspire the global market and promote glass as a sustainable material."
Shenzhen Shenbo Special Engineering Glass Industrial Co. Ltd.,Shenzhen,,China,51-100 Employees,1995,"SHENBO Glass, established since 1995, has extensive experience in the glass fabrication industry and offers a wide range of architectural glass products, including tempered glass. Their commitment to quality and strategic partnership with Saint-Gobain Glass ensures that they provide high-quality glass materials and a comprehensive solution for facade design."
"New Vision Display (Shenzhen) Co., Ltd.",Shenzhen,,China,1001-5000 Employees,2012,"The company, New Vision Display, manufactures custom touchscreen display solutions and smartphone screen protectors, including glass screen protectors for private label brands. They emphasize high-quality standards and continuous improvement in their products and manufacturing processes."
Express Toughening Ltd,United Kingdom,,United Kingdom,51-100 Employees,2000,"Express Toughening Ltd. specializes in toughened glass, also known as tempered glass, among other products like laminated and fire-rated glass. With a strong reputation for quality and reliable nationwide delivery, they are a leading supplier in the South East of England."
Express Glass Warehouse,London,,United Kingdom,51-100 Employees,2000,"Express Glass Warehouse specializes in high-quality glass products, including a 6mm rectangle toughened glass table top protector, showcasing their expertise in crafting durable and elegant glass solutions for various applications. With over 70 years of combined experience, the company is committed to delivering exceptional glass creations that enhance interior spaces."
