name,city,state,country,employees,founded,description
Instanta sp z o.o,Brenna,,Poland,501-1000 Employees,1987,"Instanta specializes in the production of coffee, including instant coffee, under clients' brand names. With a dedicated team and expertise in sourcing and manufacturing, they ensure high-quality products that meet the growing needs of their clients."
Sucafina Instant,Switzerland,,Switzerland,11-50 Employees,,"Sucafina Instant specializes in providing a wide range of instant coffee products, leveraging their expertise in both green coffee and instant coffee production to ensure high quality and value. They offer various options, including low-cost and specialty instant coffees, making them a key partner for brands and manufacturers seeking tailored coffee solutions."
Dormans Coffee,Nairobi,,Kenya,251-500 Employees,1950,"Dormans is known for its consistent quality and freshness in coffee, offering a wide variety of blends to cater to different taste profiles. With decades of roasting experience and advanced equipment, Dormans ensures the quality of its instant coffee products."
KLASSNO,Singapore,,Singapore,1001-5000 Employees,,"Klassno provides high-quality instant coffee made from the best coffee beans, ensuring rich flavors are ready to enjoy at any time."
Juan Valdez Café,Bogota Capital District - Municipality,,Colombia,1001-5000 Employees,2002,"Juan Valdez® Café is known for its premium Colombian coffee, which highlights the quality and identity of Colombian coffee growers."
Rage Coffee,New Delhi,,India,251-500 Employees,2018,"Rage Coffee offers a range of innovative instant coffee products, including their Silk Blend, made from 100% A-grade Arabica beans. These convenient, biodegradable tube shots are designed for quick preparation and are infused with all-natural vitamins, ensuring a bold and smooth flavor."
Coffee1,Bristol,,United Kingdom,501-1000 Employees,2001,"Coffee#1 emphasizes the importance of taking a break, providing a welcoming space for customers to enjoy their coffee."
Coffeeza,Poriebhat,,India,11-50 Employees,2018,"Coffeeza offers Intenso Instant Coffee, a bold and intense freeze-dried blend that delivers a deep, lasting flavor with smooth aftertaste and light fruity notes. This premium instant coffee is perfect for those who appreciate a full-bodied coffee experience."
Descafecol S.A.S.,Colombia,,Colombia,251-500 Employees,1988,"Descafecol is a Colombian manufacturer that specializes in instant coffee, offering agglomerated instant coffee made from 100% Colombian Arabica beans. Their products maintain the authentic flavor and aroma of Colombian coffee, making it easy to enjoy in both hot and cold preparations."
Sleepy Owl Coffee,New Delhi,,India,11-50 Employees,2016,"Sleepy Owl is a homegrown Indian coffee brand that offers a wide range of exceptional coffee products, including their popular Premium Instant Coffee. This instant coffee is designed for convenience, making 50 cups ready in seconds, and comes in various flavors."
