name,city,state,country,employees,founded,description
Mary Kay Global,Addison,,United States,10001+ Employees,1963,"Mary Kay Inc. specializes in cosmetics and offers a diverse range of makeup products, including multitasking lip and cheek duos, designed to help individuals create their own unique looks."
Perfect,Taipei,,Taiwan,,,"The company specializes in Beauty AR and Makeup AR Technology, highlighting its focus on innovative solutions in the makeup industry."
Makeup Artist & Skin Care Pro Group,Frederick,,United States,11-50 Employees,2014,"The company offers professional makeup application services, highlighting the expertise of their makeup artists."
Shine Cosmetics,Lindon,,United States,1001-5000 Employees,2017,"The company specializes in high-quality cosmetics and makeup products, offering a range of options designed to empower women and enhance their beauty. They provide personalized makeup consultations, where customers can enjoy a makeover or learn application tips from professional artists."
Avon,Northampton,,United Kingdom,10001+ Employees,1886,"Avon is a global cosmetics manufacturer that offers a wide range of beauty products, including makeup. Their Make-Up Tidy is designed to help keep makeup brushes and tools organized, making it a practical addition to any beauty routine."
Crystal Int'l (Group) Inc. & Crystal Claire Cosmetics Inc.,Canada,,Canada,1001-5000 Employees,2004,"Crystal Claire Cosmetics is a Canadian contract manufacturer that specializes in cosmetic products, offering custom formulation and a focus on sustainable sourcing."
Benefit Cosmetics,San Francisco,,United States,501-1000 Employees,1976,"Benefit Cosmetics is renowned for its extensive range of makeup products, including popular items like Benetint and Hoola Bronzer, making it a key player in the beauty industry."
Intercos,Agrate Brianza,,Italy,5001-10000 Employees,1972,"Intercos Group is a prominent supplier in the cosmetics industry, specializing in the research, development, and production of makeup and beauty products. They have a rich history in creating and innovating color cosmetics, including the production of cosmetic pencils, positioning themselves as a key player in the makeup market."
SUGAR Cosmetics,Mumbai,,India,1001-5000 Employees,2012,"SUGAR Cosmetics offers a wide range of makeup products that cater to every style and occasion, from everyday looks to glamorous transformations. Their curated selection ensures that women today can find fun and expressive options that celebrate their individuality."
www.makeup.ie,Dublin,,Ireland,1-10 Employees,2004,"MAKEUP offers a vast assortment of beauty products, partnering with top luxury brands to provide authentic and unique collections. Their commitment to creativity and comfort in shopping ensures beauty artists have endless opportunities to explore and experiment with their craft."
