name,city,state,country,employees,founded,description
Sip Tequila,Stuart,,United States,11-50 Employees,2018,"SipTequila is a specialized eCommerce platform that offers hand-curated, ultra-premium tequila and agave spirits, directly sourced from Mexican producers. Their commitment to quality and traditional production methods ensures a unique selection of high-quality tequila for consumers in the U.S."
Constellation Brands,Town of Victor,,United States,1001-5000 Employees,1945,"Constellation Brands is a prominent international producer of spirits, including Casa Noble Tequila, which highlights their diverse portfolio of high-end alcoholic beverages. The company's commitment to quality and sustainability enhances its reputation in the spirits market."
HACIEN Tequila,Leeds,,United Kingdom,1-10 Employees,,"Hacien Tequila emphasizes the responsible consumption of its tequila, offering a range that includes aromatic Blanco, barrel-aged Añejo Cristalino, and a lightly infused Pineapple Blanco. Committed to authenticity, Hacien uses only 100% blue agave juice, ensuring a unique flavor profile that reflects its Jalisco heritage."
Dislicores,Medellín,,Colombia,1001-5000 Employees,1976,"Dislicores offers a selection of tequilas, including Jose Cuervo Especial Reposado and Silver, as well as Gran Centenario varieties. Their focus on high-value alcoholic beverages and personalized service enhances the shopping experience for tequila enthusiasts."
Tequila Works,Madrid,,Spain,51-100 Employees,2009,"Tequila Works is a boutique game development studio that creates innovative video games for consoles and PC, including titles like RiME and GYLT. With a focus on creativity and emerging technologies, they blend tradition and innovation to enhance the gaming experience."
Casa Don Ramón,Mexico,,Mexico,501-1000 Employees,1996,"Casa Don Ramón celebrates the legacy of tequila, offering a selection of products made from Agave Azul Tequilana Weber, ensuring enthusiasts can fully enjoy each experience."
Tequila Group,McAllen,,United States,1-10 Employees,1990,"Tequila Group is an integrated marketing agency that emphasizes a creative and strategic approach to marketing, likening their method to the qualities of fine tequila—fiery yet smooth. With 29 years of experience, they have developed award-winning campaigns and strategies across various disciplines."
Tapquila LLC,Tbilisi,,Georgia,11-50 Employees,,"Tapquila is a CPA/CPI affiliate network that specializes in providing high-quality traffic for user acquisition and performance marketing. They collaborate with app developers and brands to promote offers globally, which could be relevant for those in the tequila industry looking for effective marketing strategies."
Tomsa Destil S.L.,Madrid,,Spain,11-50 Employees,,"The company, José Cuervo, has over 170 years of experience in the alcohol industry and operates multiple distilleries in Jalisco, Mexico, specifically for tequila production, with a capacity of 30K to 40K liters per day from agave."
Hills Prospect PLC,London,,United Kingdom,51-100 Employees,1977,"Hills Prospect is a prominent independent drinks distributor that supplies a diverse range of premium products, including spirits like tequila, to various establishments in London and the South East. Their expertise in the beverage industry also includes offering advice, staff education, and tasting sessions."
