name,city,state,country,employees,founded,description
KWS Group,Einbeck,,Germany,1001-5000 Employees,1856,"KWS is a leading producer of high-yield corn seeds, with its DryDown+ varieties known for early flowering and rapid drying capacity. This focus on genetic potential and sustainable practices positions KWS as a trusted partner for farmers seeking quality corn seeds."
Archer Daniels Midland Company,Chicago,,United States,1001-5000 Employees,1902,"ADM offers a range of corn oils that provide both flexibility and stability, making them ideal for creating products that meet consumer demand."
Corndel,London,,United Kingdom,251-500 Employees,2016,Corndel focuses on equipping employees and organizations with critical skills through technical training and personal development. Their expertise in data science and technology helps cultivate influential leaders and embed essential skills within the workforce.
Al Monairy For Corn Products,10th of Ramadan,,Egypt,501-1000 Employees,2005,"Almonairy for corn products, a subsidiary of Almonairy Group, specializes in a wide variety of corn products, including glucose, fructose, corn starch, and corn oil, serving multiple industries such as food production and pharmaceuticals. Their offerings also include various granulations of corn grits, making them a key player in the corn products market."
Pioneer Hi-Bred,Johnston,,United States,10001+ Employees,1926,The company offers a catalog of corn products.
Hapco Farms,Town of Riverhead,,United States,251-500 Employees,,"Hapco Farms, founded by Pollak, initially focused on manufacturing and selling fertilizer to farmers, which likely contributed to the agricultural landscape that includes corn production."
Grain Millers Inc.,Eden Prairie,,United States,501-1000 Employees,1975,"Grain Millers is a key supplier of whole corn kernels, emphasizing their commitment to providing consistently good food and ingredients. Their focus on high-quality, non-GMO corn aligns with consumer demand for safe and ethically sourced products."
Corson,Gisborne,,New Zealand,11-50 Employees,,"Corson is New Zealand's leading maize seed and milling specialist, emphasizing its strong connections with growers and customers to ensure the production of quality maize products. Their commitment to sustainable growing and harvesting practices highlights their expertise in the maize industry."
Millborn Seeds,United States,,United States,11-50 Employees,1987,"Millborn is well-equipped to meet your seed needs, offering a diverse lineup that includes sweet corn products. Their expertise and efficient logistics ensure timely delivery, making them a valuable resource for various agricultural goals."
Heat and Control,Hayward,,United States,501-1000 Employees,1950,"The company specializes in corn products processing, offering a range of solutions for creating high-quality extruded or sheeted corn chips. They also provide efficient handling, weighing, and inspection systems for various nutritional grains, including corn-based products."
