name,city,state,country,employees,founded,description
ecotainable,Siegen,,Germany,,,"ecotainable offers consulting services in the field of energy efficiency and sustainability for industry, trade, and commerce. With our practical solutions, we support companies in maximizing energy efficiency, tapping into new potential, and securing cost savings."
ista International,Essen,,Germany,5001-10000 Employees,1957,"The company offers data-driven products and services that enhance energy efficiency by making individual consumption transparent, enabling residents to save energy, reduce costs, and lower CO2 emissions. Their innovative approach and focus on IoT-capable building infrastructure position them as leaders in developing smart solutions for sustainable energy use."
EMCOR Facilities Services,Cincinnati,,United States,10001+ Employees,,EMCOR Facilities Services (EFS) specializes in energy efficiency through comprehensive energy audits and innovative management techniques that have helped clients save over $500 million in energy costs over the past six years. Their extensive facilities management capabilities ensure high-performance operations while enhancing efficiency and reducing operational expenses.
CLEAResult,Austin,,United States,1001-5000 Employees,2003,"CLEAResult is a leading provider of energy efficiency solutions in North America, offering a variety of services that promote energy savings and carbon reduction. The company's expertise in program design and implementation, along with advanced technology, positions it as a key player in transforming energy utilization across multiple sectors."
ENGIE Impact,Spokane,,United States,1001-5000 Employees,1995,"ENGIE Impact specializes in energy efficiency program implementation, helping global organizations optimize resource management and enhance efficiencies. Their services leverage advanced technologies to provide data-driven insights, enabling clients to reduce carbon footprints and achieve Net Zero goals effectively."
smartech-energy.co.uk,Chippenham,,United Kingdom,11-50 Employees,2014,
Enzen Global Solutions,Bengaluru,,India,1001-5000 Employees,2006,"Enzen is focused on optimizing energy use for various sectors, providing consulting and innovative solutions that support the transition to more energy-efficient practices."
EnerConnex LLC,Folsom,,United States,1001-5000 Employees,,"EnerConnex is dedicated to enhancing energy efficiency through its comprehensive programs that offer technology and expertise for upgrades in lighting, HVAC, refrigeration, and more. Their focus on sustainability and efficient energy management positions them as a valuable partner for businesses aiming to optimize their energy use."
Enel X,Rome,,Italy,1001-5000 Employees,2017,"Enel X Global Retail specializes in energy efficiency solutions as part of its comprehensive ecosystem aimed at enhancing energy management and promoting sustainability. Their key offerings include energy consulting, demand response programs, and smart home technologies, all designed to support the energy transition for residential consumers, businesses, and municipalities."
Enabled Energy Inc.,Littleton,,United States,11-50 Employees,2009,"Enabled Energy is a national energy services company that focuses on delivering energy efficiency and sustainability solutions for data centers. Their expertise helps operators enhance reliability, achieve measurable energy savings, and optimize infrastructure."
