name,city,state,country,employees,founded,description
BairesDev,San Francisco,,United States,1001-5000 Employees,2009,"BairesDev is a Unity 3D game development company that specializes in creating and distributing cross-platform 2D and 3D game applications. With a mission to connect top-tier Latin American developers with businesses, they have successfully delivered over 1,250 projects, emphasizing their commitment to high-quality software solutions."
Virtuos,Huangpu District,,China,501-1000 Employees,2004,"Virtuos is a prominent content production company that specializes in video game development, offering extensive outsourcing support for co-development, full-stack development, and gameplay design for AAA games. With a global team of over 3,500 professionals, Virtuos is dedicated to enhancing game creation through collaboration and cutting-edge technologies."
Game-Ace,Kharkiv,,Ukraine,51-100 Employees,2016,"Game-Ace specializes in turnkey game development services, including custom metaverse game development, and has over a decade of experience with the Unity game engine. Their team of highly experienced developers and artists focuses on creating engaging gameplay and ensuring high-quality releases, making them a reliable partner for game development projects."
Gameloft,Barcelona,,Spain,10001+ Employees,1999,"Gameloft is a prominent mobile game developer and publisher, known for its high-quality gaming experiences on smartphones and tablets, featuring popular franchises like Asphalt and Modern Combat. The company's focus on innovation and partnerships with major entertainment brands underscores its significant role in the mobile gaming industry."
Mas Global Services,Ahmedabad,,India,11-50 Employees,2020,"The company offers comprehensive game development services, covering everything from concept creation to launch, utilizing advanced technologies like Unity 3D and AR/VR to deliver innovative gaming experiences. Their dedicated team can assist with all aspects of game development, including design, programming, art, and marketing."
Jamy Interactive Inc,Herndon,,United States,1001-5000 Employees,,"Jamy Interactive, Inc. specializes in game development as part of its broader focus on E-Learning, Gaming, and Application Development. The company provides innovative solutions tailored to diverse clients, highlighting its commitment to leading in the software development sector."
EDIIIE,-,,-,,,
The Gaminators Group,Lahore,,Pakistan,251-500 Employees,2015,"The Gaminators Group is a leading mobile games development company, specializing in custom game development and publishing for platforms like Android and iOS, as well as incorporating technologies such as Artificial Intelligence, Augmented Reality, and Virtual Reality."
Vasundhara Infotech,Surat,,India,251-500 Employees,2013,"Vasundhara Infotech is a leading game development partner, specializing in creating immersive gaming experiences from conception to launch. They offer top-notch services for console games, mobile apps, and VR/AR experiences, exemplified by their innovative archery simulation game, AccuBow 2023."
EPlay Studio,Kyiv,,Ukraine,51-100 Employees,,"The company specializes in computer game development, offering a range of services such as 2D art graphics, character concepts, and 3D modeling. With over 10 years of experience, they handle diverse game projects and emphasize a full cycle development approach, ensuring high-quality outcomes that align with clients' visions."
