name,city,state,country,employees,founded,description
The Curtain Boutique,Singapore,,Singapore,51-100 Employees,2012,"The Curtain Boutique is dedicated to providing high-quality curtains and blinds, earning national awards for its exceptional service and commitment to quality. As a top provider in Singapore, they focus on offering a wide range of affordable products that inspire and enhance home interiors."
Rose Brand,Secaucus,,United States,251-500 Employees,1929,"The company specializes in manufacturing and supplying a diverse range of theatrical fabrics, including custom sewn curtains and scenic elements. Their extensive offerings cater to various events and productions."
Coulisse Real Estate B.V.,Wierden,,Netherlands,1-10 Employees,2002,"Coulisse is a family-run business that specializes in innovative and sustainable window coverings, including curtains. With a focus on beauty, functionality, and energy efficiency, they offer forward-thinking textile collections designed to enhance any space."
ENVIROSCREEN SYSTEMS LLP,St Albans,,United Kingdom,11-50 Employees,1995,"Enviroscreen specializes in the custom design and installation of various shading systems, including window curtains. They provide a comprehensive service that ensures high-quality, tailored solutions for diverse clients."
Commonwealth Home Fashions,Montreal,,Canada,51-100 Employees,1946,"Commonwealth Home Fashions, Inc. specializes in decorative soft window treatments, offering a diverse range of curtains including room darkening, lace, light filtering, and total blackout options. With over 75 years of experience, the company is one of the largest manufacturers in this industry, ensuring a wide selection for various needs."
Vanelli Textile,Turkey,,Turkey,1001-5000 Employees,,"Vanelli specializes in innovative textile solutions, offering a diverse range of curtains designed for both residential and contract use, particularly in hospitality and public spaces. Their commitment to quality and sustainability is reflected in their seasonal collections and year-round fabric offerings, which include modern digitally printed drapery and timeless woven textures."
Lead Curtain and Window Blinds Nigeria,Abuja,,Nigeria,11-50 Employees,,"Lead Curtains and Blinds is a manufacturer that specializes in high-quality custom curtains, blending style with functionality and focusing on energy efficiency and light control. Their extensive range of meticulously crafted curtains showcases premium materials and innovative designs, making them a key player in the window treatment market."
InterLace Blinds Ltd,Cambridge,,United Kingdom,11-50 Employees,1976,"InterLace Blinds Ltd. emphasizes their expertise in manufacturing and installing curtains, offering a timeless solution for shading, privacy, and solar control in both residential and commercial settings. With over 30 years of experience, they ensure reliable delivery and support throughout the project lifecycle, aligning with client design aspirations and specifications."
In Curtains and Blinds,Sunshine Coast Regional,,Australia,11-50 Employees,,"In Curtains & Blinds is a specialist retailer that offers a wide selection of curtains, featuring the latest designs from renowned fabric houses. Their experienced installers provide high-quality service, ensuring customer satisfaction for all window furnishing projects."
TRENDIY,Nunspeet,,Netherlands,251-500 Employees,1971,"Trendiy is a specialized manufacturer and distributor of window coverings, including a comprehensive range of curtains. With over 30 years of experience, they produce ready-made and made-to-measure products, ensuring flexibility and quality."
