name,slug,hq_city,hq_state,hq_country,description,founded_year,team_size,logo_url,category,category_slug,parent_group
Evergrow Group,evergrow-group,Giza,,Egypt,"The company, EverGrow, produces one million tons of specialty fertilizers and chemicals annually, including significant quantities of potassium sulfate, calcium chloride, and NPK. They emphasize high-quality standards and sustainable practices, highlighting the crucial role of fertilizers in enhancing agricultural productivity to meet global food demands.",2006,5001-10000,https://ui-avatars.com/api/?name=Evergrow+Group&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
Suez Company For Fertilizers Production SCFP,suez-company-for-fertilizers-production-scfp,Suez,,Egypt,"SCFP is a manufacturer that specializes in producing a variety of agricultural fertilizers, such as single super phosphate, ammonium sulfate, and di calcium phosphate. The company's commitment to enhancing the fertilizers industry is evident through its focus on customer satisfaction and extensive market research.",2002,251-500,https://ui-avatars.com/api/?name=Suez+Company+For+Fertilizers+Production+SCFP&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
AlexFert,alexfert,Alexandria,,Egypt,"AlexFert is an Egyptian joint stock company that specializes in the production of nitrogen-based fertilizers, primarily Granular Urea and Anhydrous Ammonia. With a strong production capacity and a commitment to sustainable practices, AlexFert positions itself as a key supplier in the fertilizer market, targeting European, American, and African markets.",2003,251-500,https://ui-avatars.com/api/?name=AlexFert&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
KGSIndustry,kgsindustry,Cairo,,Egypt,"KGS Industry specializes in agricultural fertilizers that are crucial for enhancing soil fertility and boosting crop productivity. Their products are designed for rapid growth and sustainable farming practices, making them a leading provider of fertilizers in Egypt.",2011,501-1000,https://ui-avatars.com/api/?name=KGSIndustry&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
Tetra Group Fertilizers,tetra-group-fertilizers,Cairo,,Egypt,"The company specializes in producing high-quality specialty fertilizers for fertigation and foliar nutrition, offering a wide range of liquid and water-soluble products that cater to various crop needs. Their commitment to quality and innovation establishes them as a leader in the fertilizer sector.",,11-50,https://ui-avatars.com/api/?name=Tetra+Group+Fertilizers&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
Kayan Group,kayan-group,Alexandria,,Egypt,"The company specializes in agribusiness, focusing on providing a range of products and services aimed at enhancing food production and improving crop quality for farmers. With expertise in agrochemicals and fertilizers, the company leverages advanced technologies to support farmers in achieving their goals.",2017,11-50,https://ui-avatars.com/api/?name=Kayan+Group&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
Egyptian French Company for Plant Tissue Culture S.A.E,egyptian-french-company-for-plant-tissue-culture-sae,Cairo,,Egypt,"The Egyptian French Company for Plant Tissue Culture S.A.E (EFC Plants) specializes in plant tissue culture and research, focusing on the micropropagation of various plants.",2019,51-100,https://ui-avatars.com/api/?name=Egyptian+French+Company+for+Plant+Tissue+Culture+S.A.E&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
Future for Agricultural Materials,future-for-agricultural-materials,Egypt,,Egypt,"Future for Agricultural Materials (FAMCO) in Egypt specializes in fertilizers, offering high-quality products designed to enhance crop quality and yield. Their expertise and skilled team ensure farmers have access to essential agricultural materials that support effective crop production.",2009,11-50,https://ui-avatars.com/api/?name=Future+for+Agricultural+Materials&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
Eco Agro Science,eco-agro-science,Cairo,,Egypt,"Eco Agro is a manufacturer that specializes in innovative fertilizers, particularly highlighting their Eco Fol product, which is an integral fertilizer containing essential macro and micro elements. This high-solubility fertilizer promotes plant growth at all stages, making it ideal for vegetables, field crops, and early fruit development.",,51-100,https://ui-avatars.com/api/?name=Eco+Agro+Science&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
RAWAG for Industry and Trade,rawag-for-industry-and-trade,Cairo,,Egypt,"RAWAG Business is a specialized manufacturer and supplier of fertilizers, particularly focusing on Single Super Phosphate and other mineral products like Rock Phosphate and Limestone. With nearly 15 years of experience and ISO 9001 certification, the company ensures high-quality agricultural inputs for expanding markets.",2004,251-500,https://ui-avatars.com/api/?name=RAWAG+for+Industry+and+Trade&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
valor for chemicals and fertilizers,valor-for-chemicals-and-fertilizers,Cairo,,Egypt,"Valor is a manufacturer specializing in agricultural solutions, offering a diverse range of high-quality fertilizers designed to enhance crop productivity and environmental sustainability.",2016,11-50,https://ui-avatars.com/api/?name=valor+for+chemicals+and+fertilizers&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
Dakahlia Group,dakahlia-group,Cairo,,Egypt,"Shams Chemicals is a prominent manufacturer and distributor of agricultural chemicals, including high-quality fertilizers. The company emphasizes premium quality and consistency in its products, making it a reliable partner in the agricultural inputs market.",1981,1001-5000,https://ui-avatars.com/api/?name=Dakahlia+Group&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
EgyptSupplier,egyptsupplier,Cairo,,Egypt,"The company, Ahmed Hafez, Egypt Supplier, specializes in the export of fresh fruits, vegetables, and herbs, ensuring high-quality supplies and prompt processing of shipments. With over 13 years of experience and a commitment to quality, they are a reliable partner for producers in the fresh produce industry.",2010,251-500,https://ui-avatars.com/api/?name=EgyptSupplier&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
Damak for agricultural development,damak-for-agricultural-development,Egypt,,Egypt,"The company specializes in agricultural chemicals and offers ""King Flower Total Agro,"" a specialized fertilizer designed to enhance flowering and fruit set. This product contains essential macro and micronutrients, free amino acids, vitamins, and auxins, which collectively improve plant resilience against environmental stresses and significantly increase yield during critical growth phases.",2011,11-50,https://ui-avatars.com/api/?name=Damak+for+agricultural+development&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
CENTECH -Industrial Technical Center,centech-industrial-technical-center,Cairo,,Egypt,"Centech is a prominent importer and distributor of specialty fertilizers in Egypt, with a focus on NPK products. Their Agrowmore 10-52-10 fertilizer is particularly noteworthy for its high phosphorus content, which is essential for various vital plant processes, thereby enhancing agricultural production.",1968,51-100,https://ui-avatars.com/api/?name=CENTECH+-Industrial+Technical+Center&background=4F46E5&color=fff&size=200&bold=true,Fertilizer,fertilizer,Agriculture & Farming
