name,city,state,country,employees,founded,description
FILTERS SpA,Turin,,Italy,51-100 Employees,1989,"FILTERS SpA is a manufacturer that specializes in custom-made filters and advanced filtration technologies, addressing various filtration challenges for industrial applications. Their expertise and focus on engineering solutions ensure high-quality products and services, particularly for sectors like Oil & Gas, Power Generation, and Chemicals."
Filter Management Inc,Los Angeles,,United States,1-10 Employees,2005,"Filter Management is a comprehensive photographic management and production company with over 20 years of experience, specializing in services such as production, location scouting, and digital retouching. Their expertise ensures that every aspect of photography is expertly managed, catering to diverse client needs."
Kayser Filtertech,Einbeck,,Germany,101-250 Employees,1928,"The company specializes in providing custom filtration components, including filter bags and pockets, highlighting their extensive experience and commitment to innovative textile filtration solutions."
Apureda Filter,Huangpu District,,China,1001-5000 Employees,,"Apureda Filter is a manufacturer of industrial filtration products, specializing in a wide range of filters including air and fuel filters. With over 20 years of experience, the company ensures timely delivery of various filtration materials."
NEU JKF Asia,Malaysia,,Malaysia,251-500 Employees,2019,"JKF is a prominent manufacturer and supplier of filtration systems, offering a range of products designed to enhance air quality in various industries, including paper."
Freudenberg Filtration Technologies,Weinheim,,Germany,1001-5000 Employees,,"Freudenberg Filtration Technologies is a prominent manufacturer of filtration solutions, including filter mats. Their extensive product range, which has evolved since the 1950s, highlights their expertise in air and liquid filtration systems."
Hydraulic filter,Zhengzhou,,China,1001-5000 Employees,1998,"Henan Demalong Filter Co., Ltd. specializes in producing high-quality filtration products, including various types of filters such as air filters, water filters, and hydraulic filters. Their extensive product range is designed for applications across multiple industries, ensuring reliable filtration solutions."
Donaldson Company,Minneapolis,,United States,10001+ Employees,1915,"Donaldson Company specializes in advanced filtration technologies, offering a range of filter elements designed for the effective removal of water, oil aerosols, and solid particles from compressed air and gases. Their SMF UltraPleat™/SMFP/P-SMF filter elements utilize innovative microfiber fleece to ensure high efficiency and low pressure drop, making them suitable for various industrial applications."
Fil Filtre A.S.,İskenderun,,Turkey,1001-5000 Employees,1966,"FIL FILTER A.S. is a prominent manufacturer of filtration products, offering a wide range of over 6,000 items, which may include various types of filters relevant to your interest in filter paper. The company's commitment to quality and advanced manufacturing technologies positions it as a key supplier in the filtration industry."
Amazon Filters,Surrey Heath,,United Kingdom,101-250 Employees,1985,"Amazon Filters Ltd specializes in innovative industrial filtration solutions, including the production of various types of filters for liquids, gases, and air. With over 35 years of expertise, the company is dedicated to delivering high-quality and reliable filtration products."
