name,city,state,country,employees,founded,description
Solar Energy World,Elkridge,,United States,101-250 Employees,2009,Solar Energy World specializes in solar panel installation and is equipped with experts who understand local incentives and regulations. They prioritize a seamless installation experience and are dedicated to finding the best solar solutions for their clients.
Blattner Energy,Avon,,United States,1001-5000 Employees,1907,"Blattner Energy is a leading renewable energy EPC contractor that highlights its unmatched solar performance and extensive project capabilities. With decades of experience, the company offers a full scope of solar services, positioning itself as a key player in the solar energy sector."
Tampa Electric,Tampa,,United States,1001-5000 Employees,1899,"Tampa Electric is actively involved in renewable energy solutions, including solar energy initiatives, highlighting its commitment to sustainable power generation."
SunSource Energy,Dadri,,India,101-250 Employees,2010,"SunSource Energy specializes in providing solar energy solutions for commercial and industrial customers in India and South-East Asia. They develop and operate solar power projects, enabling users to harness solar energy efficiently and reduce energy costs."
SOLV Energy,San Diego,,United States,501-1000 Employees,,"SOLV Energy is dedicated to transforming solar energy through innovative projects that promote cleaner power and sustainable community development. With a strong focus on utility-scale solar and energy storage solutions, the company is committed to expanding renewable energy initiatives for a brighter future."
SOLAR EPC DEVELOPMENT LTD.,Dhaka,,Bangladesh,11-50 Employees,2018,"SEPC is a leading solar energy provider in Bangladesh, known for its expertise and reliability. The company offers comprehensive solutions for solar plants, emphasizing its commitment to sustainability and the importance of renewable energy in reducing carbon emissions."
SolarSquare Energy,Mumbai,,India,51-100 Employees,,SolarSquare Energy is dedicated to making clean solar energy affordable and accessible through organized solar panel system design and installation for homes and businesses. They also offer options like Li-ion storage batteries for reliable power and provide upfront subsidies and flexible financing to enhance the customer experience in adopting solar solutions.
All Energy Solar,Saint Paul,,United States,51-100 Employees,2009,"All Energy Solar is a full-service solar solution provider specializing in the assessment, design, and installation of solar panels. With a team of certified professionals, they ensure a seamless solar experience, delivering reliable and affordable electricity for both residential and commercial projects."
SolarEdge Technologies,Herzliya,,Israel,1001-5000 Employees,2006,"The company offers a range of residential solar products, including solar systems, inverters, power optimizers, and storage solutions, highlighting its commitment to solar energy solutions for homes."
EcoPower Solar Energy,Barretos,,Brazil,251-500 Employees,2013,"EcoPower is a leading company in the solar energy sector, specializing in the installation of solar power systems for homes, businesses, and agriculture. They offer a comprehensive service that includes site assessment, system design, installation, and connection to the electrical grid, making solar energy accessible and cost-effective for their clients."
