name,city,state,country,employees,founded,description
Plug Power,Town of Colonie,,United States,1001-5000 Employees,1997,"Plug is actively contributing to the green hydrogen ecosystem by providing industry-leading electrolyzer products and affordable green hydrogen, essential for the transition to a net-zero economy. Their focus on making hydrogen a viable zero-carbon energy source underscores the importance of electrolysis in their operations."
Elogen,Les Ulis,,France,11-50 Employees,2014,"ELOGEN specializes in PEM electrolysis, which is the most effective technology for producing hydrogen from renewable energies, making it highly relevant for those interested in hydrogen projects."
Ohmium,Fremont,,United States,251-500 Employees,2019,"Ohmium specializes in advanced proton exchange membrane (PEM) electrolyzers, which are key for cost-effective and scalable green hydrogen production. Their technology utilizes water and renewable energy, making it essential for various commercial and industrial applications."
Greenerity GmbH,Alzenau,,Germany,51-100 Employees,1997,"Greenerity GmbH specializes in developing and supplying advanced membrane electrode assemblies (MEAs) for PEM-water-electrolysis, making it a key player in sustainable power generation. Their state-of-the-art MEA products provide efficient electrochemical solutions that support the production of hydrogen, essential for clean energy applications."
HyGear,Arnhem,,Netherlands,51-100 Employees,2002,"HyGear specializes in on-site hydrogen generation, highlighting its focus on electrolysis as a key method for producing sustainable hydrogen with a low or carbon-negative footprint."
AEG Power Solutions,Markham,,Canada,1001-5000 Employees,1887,"AEG Power Solutions specializes in power supply systems, including hydrogen electrolysis power supplies essential for the electrolysis process. Their commitment to innovative designs supports clean energy production, particularly in the green hydrogen sector."
Greenlight Innovation,Burnaby,,Canada,101-250 Employees,1992,"The company offers electrolyser testing equipment and products specifically designed for the alternative energy industry, highlighting its focus on electrolysis technology."
C-Tech Innovation,Chester,,United Kingdom,11-50 Employees,2000,"The company specializes in designing and supplying process equipment, highlighting its role as the leading supplier of vanadium electrolyzer plants for VRFB electrolyte production. With a focus on electrochemical and electro-heating systems, they support the development of low carbon technologies from proof-of-concept to production scale."
Enapter,Berlin,,Germany,101-250 Employees,2017,"Enapter is focused on reducing the cost of water electrolysis, making hydrogen a competitive alternative to fossil fuels. They have launched innovative AEM electrolysers, including the world's first megawatt-class model, which significantly enhance the production of green hydrogen."
Electrolab,Mumbai,,India,251-500 Employees,1984,"Electrolab specializes in manufacturing pharmaceutical testing equipment, which is crucial for in vitro dissolution and release testing, directly related to electrolysis in drug product development. Their commitment to quality and timely delivery, supported by a skilled production team, ensures high-performance equipment that meets industry specifications."
