name,city,state,country,employees,founded,description
Tech Soft 3D,Bend,,United States,101-250 Employees,1996,"Tech Soft 3D specializes in providing technology and expertise that can enhance software development teams, particularly in the area of visualization."
Webgears,Boston,,United States,101-250 Employees,2008,"The company specializes in 3D technology solutions, offering a web-based 3D engine and tools that enhance interactions with 3D content across various applications, making it particularly relevant for those interested in 3D visualization."
Vertex Software,Ames,,United States,51-100 Employees,2018,"Vertex Software offers a revolutionary cloud-based approach to industrial 3D visualization, enabling users to stream large 3D models seamlessly without the need for installation. Their platform is designed for mobile and low-power devices, making it ideal for diverse applications across supply chain, sales, and engineering workflows."
Render Vision,Offenbach am Main,,Germany,11-50 Employees,2008,"Render Vision offers a range of services that include 3D renderings, video animations, and virtual walkthroughs, emphasizing their ability to visualize clients' inner visions. They have experience in creating detailed visualizations for projects, such as a penthouse in Munich and an exterior perspective for a competition entry."
Visualise,London,,United Kingdom,11-50 Employees,2006,"Visualise is a production studio dedicated to creating immersive content, specializing in 3D visualization through methods like live action 360° video, interactive VR experiences, and augmented reality. Their award-winning team has developed a strong production process, ensuring high-quality delivery of innovative visual projects."
Spatial,Boulder,,United States,51-100 Employees,1986,"Spatial is a leading partner in 3D visualization, offering over 35 years of experience and a robust graphics engine through its HOOPS Visualize software, which is designed to develop high-performance applications efficiently. Their expertise and cutting-edge tools significantly enhance the development process, making them a trusted choice for innovative 3D modeling solutions."
Cylindo,San Francisco,,United States,101-250 Employees,2012,"Cylindo is a leader in 3D product visualization, dedicated to enhancing customer experiences through high-quality, dynamic, and interactive 3D content. With its innovative technology and seamless integration, Cylindo empowers businesses to create immersive visual experiences that bridge the gap between physical and digital realms."
Visual Depiction,Warsaw,,Poland,1-10 Employees,2020,"Visual Depiction specializes in high-end architectural visualization, offering detailed 3D renderings, including exterior and interior visualizations, VR 360° panoramas, and CGI animations. Their services enhance the visual representation of architectural projects, making them highly relevant for those seeking expert 3D visualization."
VizworX Inc.,Calgary,,Canada,11-50 Employees,2012,"VizworX specializes in transforming complex data sets into interactive visualizations, utilizing advanced technologies like augmented reality (AR) and virtual reality (VR). Their innovative solutions enhance data analysis and decision-making, making them a key player in the field of 3D visualization."
imagine.io,Winston-Salem,,United States,51-100 Employees,2016,"Imagine.io is a B2B SaaS startup that provides a cutting-edge 3D content creation platform tailored for the furniture and textiles industry. Their service allows users to effortlessly produce photorealistic 3D visuals, enhancing eCommerce and prototyping processes."
