name,city,state,country,employees,founded,description
viso.ai,Schaffhausen,,Switzerland,11-50 Employees,2017,"Viso Suite is a leading platform in computer vision, enabling the rapid development of applications like object detection and recognition without the need for extensive coding. Their innovative visual programming approach allows businesses, including Fortune 500 companies, to deploy computer vision solutions efficiently, often within two weeks."
MCovision,France,,France,1-10 Employees,,"MCovision is a specialized Data Science consulting company that focuses on Computer Vision applications. They offer customized Machine and Deep Learning algorithms to enhance projects, ensuring qualitative and accurate data science solutions tailored for various industries."
Computer Vision Foundation,New York,,United States,11-50 Employees,2011,The Computer Vision Foundation is a non-profit organization dedicated to promoting and supporting research in all areas of computer vision.
Q.E.F. Electronic Innovations B.V.,Montfoort,,Netherlands,11-50 Employees,1993,"QEF is dedicated to developing advanced technology, including hyperintelligent camera control systems specifically designed for computer vision applications. Their innovative computer vision systems cater to various industries, such as food and mailing."
Visaltium,Barcelona,,Spain,1-10 Employees,,"Visaltium is a pioneer in computer vision solutions and services, utilizing the latest technologies to transform industries through tailored applications of Artificial Intelligence and Deep Learning. Their expert team ensures that products not only meet current client needs but also prepare them for future innovations in the field."
Vision AI Suite,Johannesburg,,South Africa,51-100 Employees,2017,"The company utilizes computer vision technology through its visionTrack system, which enhances manufacturing processes by integrating with existing CCTV systems to identify, track, and analyze activities on production lines. This advanced image recognition and object detection capability automates production, improves quality control, and provides valuable insights for more efficient operations."
DeepRay,Athens,,Greece,1-10 Employees,2020,"DeepRay specializes in computer vision, utilizing deep learning models for various applications, including car damage auditing, vessel detection via satellite, and road network extraction from satellite images."
"Softarex Technologies, Inc.",Alexandria,,United States,101-250 Employees,2000,"Softarex Technologies Inc. specializes in computer vision engineering services that empower businesses to enhance their operational efficiency and decision-making capabilities. Their innovative solutions, which integrate computer vision and artificial intelligence, have significantly improved kitchen operations for major fast-food chains and are being utilized across various industries, including healthcare and manufacturing."
ml4vision,Leuven,,Belgium,1-10 Employees,2021,"The company specializes in developing computer vision solutions, offering a range from proof-of-concept to fully operational applications, emphasizing their commitment to applying the latest technologies and optimizing the machine learning pipeline for various industries."
Red Buffer,Dover,,United States,51-100 Employees,2013,"Red Buffer specializes in developing advanced systems that enhance efficiency in data processing, including applications in computer vision. With over 7 years of experience in machine learning, the company is well-equipped to transform AI visions into practical solutions."
