name,city,state,country,employees,founded,description
Big Garlic SL,Elx / Elche,,Spain,51-100 Employees,1998,Big Garlic offers high-quality Spanish garlic and emphasizes its commitment to efficient and aesthetically pleasing packaging. They also provide a variety of delicious recipes to help customers enjoy garlic in new and innovative ways.
Doreva Produce - Organic Sweet Potatoes & Yams,Livingston,,United States,251-500 Employees,1976,"The company is ready to assist with information related to garlic, whether it's about their products or recipes."
California Garlic Company,San Diego,,United States,11-50 Employees,1999,"Garlic King specializes in a variety of garlic products, including Roast Garlic and IQF Garlic, highlighting their commitment to high-quality, all-natural ingredients. With a focus on customization and timely delivery, they serve customers in the US and Canada."
Garland Food LLC,Miami,,United States,51-100 Employees,1992,"Garland Food offers fresh, peeled garlic that is ready to use, making it a convenient ingredient for food service. With over 30 years of experience and a commitment to freshness, they ensure high-quality garlic is available year-round."
EgyptSupplier,Cairo,,Egypt,251-500 Employees,2010,"Ahmed Hafez, Egypt Supplier specializes in the export of fresh fruits and vegetables, including garlic. With over 13 years of experience and a strong network of domestic growers, the company ensures regular, high-quality supplies that meet strict quality and sanitary requirements."
d'Arta,Ardooie,,Belgium,251-500 Employees,1988,"The company highlights its extensive production and export capabilities, sourcing over 70% of its products, including garlic, from local farmers in prime agricultural areas. With multiple production plants across Europe, they offer a diverse range of high-quality products under their own brand and customer labels."
Silva International Inc.,Momence,,United States,251-500 Employees,1979,"Silva International offers a variety of high-quality dehydrated garlic products, including chopped, minced, and powdered forms, at wholesale prices."
Christopher Ranch - Second Profile (soon to close),Gilroy,,United States,1001-5000 Employees,,"Christopher Ranch is a leading manufacturer that specializes in garlic, offering a wide variety of garlic products such as fresh, peeled, and roasted garlic, as well as California heirloom garlic."
Pyramid Produce,Egypt,,Egypt,51-100 Employees,,"Pyramid Produce is a prominent Egyptian grower and exporter of fresh produce, including garlic, which is part of their diverse year-round offerings."
The Garlic Company LLC,Bakersfield,,United States,51-100 Employees,,"The Garlic Company, LLC is a prominent supplier of fresh California peeled garlic and offers a variety of premium garlic products, including purees, which enhance culinary experiences for home chefs."
