name,city,state,country,employees,founded,description
WP Lavori in Corso,Bologna,,Italy,51-100 Employees,1982,"WP Lavori in Corso is a key player in the apparel and fashion industry, distributing renowned brands like Barbour and Woolrich, which may include a range of stylish shorts. With a commitment to high-quality clothing and a curated portfolio, the company showcases both iconic and contemporary designs."
Rent the Runway,New York,,United States,501-1000 Employees,2009,"Rent the Runway offers a selection of summer denim and shorts, highlighting its commitment to providing trendy and sustainable women's apparel through innovative rental and subscription services."
Supertouch,Sandwell,,United Kingdom,51-100 Employees,1996,"Supertouch is a prominent manufacturer and supplier of workwear, including shorts designed for safety and comfort in various applications. Their commitment to quality and compliance with industry standards ensures that their products meet the needs of diverse sectors."
MAS Holdings,Colombo,,Sri Lanka,10001+ Employees,1987,"MAS Holdings is a leading swimwear manufacturer that specializes in eco-friendly options for both fashion and sports brands, highlighting their expertise in creating sustainable swimwear."
Refinery29,New York,,United States,251-500 Employees,2005,"Refinery29 highlights the Linen Way-High Drape Short, which offers a stylish and sustainable option for summer. These shorts feature a longer inseam and classic design elements, making them a versatile addition to any wardrobe."
White House Black Market,Fort Myers,,United States,1001-5000 Employees,1985,"White House Black Market offers a range of polished women's clothing, including the Extra High-Rise Fluid 5-Inch Shorts, which are designed to reflect modern trends and enhance versatility in fashion."
Hip Pocket Workwear & Safety Toowoomba,Toowoomba,,Australia,11-50 Employees,2008,"Hip Pocket Toowoomba offers a diverse range of shorts, including corporate and workwear styles in various designs such as chino and elastic waist. Their collection is suitable for both smart and casual settings, making it ideal for every profession."
Jigsaw,United Kingdom,,United Kingdom,501-1000 Employees,1970,"Jigsaw offers lightweight linen shorts designed for comfort and style, making them perfect for Spring and Summer."
Hurley,Costa Mesa,,United States,501-1000 Employees,1999,"Hurley offers a stylish option with their Lana Crochet Shorts, designed for comfort and a high rise fit, making them perfect for a relaxed beach lifestyle. These lightweight shorts feature an elastic drawcord waist and are made from 100% rayon, reflecting the company's commitment to quality and performance."
Making Waves USA,Ferndale,,United States,11-50 Employees,2015,"Making Waves USA is a prominent retailer specializing in swim gear and apparel, offering a variety of products, including shorts, from major brands. They also provide services like exclusive team pricing and a dedicated Team Store, making it easy for teams to access the swimwear and equipment they need."
