name,city,state,country,employees,founded,description
Mowi,Bergen,,Norway,1001-5000 Employees,1964,"Mowi ASA is the world's largest producer of farm-raised Atlantic salmon, highlighting its significant role in the seafood industry. The company operates in various business areas, including Feed, which is directly relevant to the production of fish food."
iFood,Itaí,,Brazil,1001-5000 Employees,2011,"iFood is a prominent foodtech company in Latin America that specializes in food delivery services, connecting customers with a diverse selection of restaurants."
"International In-Flight Catering Company, Ltd.",Chicago,,United States,1001-5000 Employees,1971,"Flying Food Group is a manufacturer of high-quality meals and snacks, emphasizing their expertise in creating fresh and shelf-stable meal solutions."
eFishery,Bandung City,,Indonesia,251-500 Employees,2013,"eFishery is a key player in the aquaculture technology sector, offering innovative solutions for fish farming, including a platform called eFeed that provides access to high-quality fish feed. This integrated ecosystem not only enhances food security through efficient protein production but also supports aquaculture operations by facilitating the procurement of quality feed."
Gordon Food Service,Grand Rapids,,United States,10001+ Employees,1897,"Gordon Food Service provides a diverse selection of fresh and frozen seafood options, including shrimp, crab, and various types of fish, making it a valuable resource for foodservice operators. Their commitment to high-quality products and advanced logistical systems ensures reliable delivery for seafood and other food operations."
Foster Lake & Pond Management Inc.,Garner,,United States,11-50 Employees,1983,"Foster Lake & Pond Management specializes in fish stocking and fishery management, offering comprehensive services that include the installation of fish feeders. Their expertise in aquatic system maintenance ensures a well-managed environment for fish and other aquatic life."
Blumar,Talcahuano,,Chile,1001-5000 Employees,2011,"Blumar Seafoods is a leading organization in fishing and aquaculture, producing high-quality fishmeal and fish oil specifically for animal feed production. With over 60 years of experience, the company ensures a vertically integrated process that enhances the quality of its products."
Food+ by Compass,Borough of Runnymede,,United Kingdom,5001-10000 Employees,,"Food+ by Compass is a service provider that emphasizes sustainable food practices and offers a diverse range of culinary experiences, which may include wellness-focused options that could align with dietary preferences."
Biozoo,Caldes de Montbui,,Spain,11-50 Employees,1987,"The company specializes in manufacturing a variety of pet products, including fish food."
Fider Pescados,São Paulo,,Brazil,251-500 Employees,2009,"Fider, a brand of Grupo Mcassab, specializes in high-quality tilapia products, including Individual Quick Frozen (IQF) options. They are committed to sustainability and environmentally responsible farming practices, ensuring that their tilapia is both nutritious and delicious."
