name,city,state,country,employees,founded,description
PETRONAS Lubricants International,Malaysia,,Malaysia,1001-5000 Employees,2008,"PETRONAS Lubricants International (PLI) is a leading manufacturer of high-quality automotive and industrial lubricants, including a diverse range of engine oils. Their expertise in Fluid Technology Solutions™ highlights their commitment to providing innovative lubricants and fluids."
Lucas Oil Products,Corona,,United States,251-500 Employees,1989,"Lucas Oil Products is dedicated to producing high-quality lubricants and additives, including a premium line of motor oils. Their commitment to innovative research and development has made them a leading name in the automotive industry."
Veedol Engine Oils,Kolkata,,India,501-1000 Employees,1928,"The company has developed high-performance engine oils that meet and exceed various international OEM specifications, making them a reliable choice for automotive needs."
ExxonMobil,Irving,,United States,10001+ Employees,1870,"ExxonMobil is a prominent player in the oil and energy sector, with a significant portfolio in heavy oil production, totaling 442,000 barrels per day. The company's commitment to developing efficient fuels and reducing greenhouse gas emissions aligns with its goal of delivering sustainable energy solutions."
MAHLE Industries,Michigan City,,United States,10001+ Employees,1920,"MAHLE North America is focused on developing innovative oil management systems for commercial vehicles, which are essential for optimizing performance and sustainability, especially in the context of alternative drives. Their expertise in oil management includes modules and systems designed to enhance the efficiency and reliability of engine operations."
Mahle Filter Systems Japan,Tokyo,,Japan,10001+ Employees,1920,"MAHLE is a key player in the automotive industry, specializing in the design and manufacture of engine components, including various oil management systems for commercial vehicles. Their innovative solutions encompass oil management modules and systems that enhance engine performance and efficiency."
ADNOC Group,Abu Dhabi,,United Arab Emirates,10001+ Employees,1971,"The company, ADNOC, produces approximately 600,000 metric tons of high-quality Group II and III base oil annually, branded as ADbase, which is utilized by prominent lubricant manufacturers worldwide. This highlights their significant role in the oil sector, particularly in the production of engine oil."
OLA Energy,Dubai,,United Arab Emirates,1001-5000 Employees,,"OLA Energy is a prominent manufacturer and distributor of petroleum products in Africa, offering a wide range of quality lubricants, which directly relates to engine oil. The company's commitment to exceptional customer care and a dynamic portfolio ensures they meet evolving customer needs in this sector."
Idemitsu Lube India Private Ltd,New Delhi,,India,251-500 Employees,1911,"Idemitsu Lube India Pvt Ltd is a prominent manufacturer of high-quality engine oils, including fully synthetic and low viscosity options, catering to various vehicles such as motorcycles, cars, and commercial vehicles. With over 100 years of global experience, the company emphasizes environmentally friendly practices and innovation in its diverse lubricant portfolio."
Infineum International,Vale of White Horse,,United Kingdom,1001-5000 Employees,1999,"The company specializes in petroleum additives for lubricants and fuels, including heavy-duty engine oils. Their advanced research and development capabilities focus on innovative chemistry that enhances the performance and stability of engine oils."
