name,city,state,country,employees,founded,description
Webtrends,Portland,,United States,251-500 Employees,1993,"Webtrends is a leading provider of digital analytics software, particularly known for its web analytics products that help organizations track user behavior on websites and mobile applications. Their key offering, Webtrends Analytics for SharePoint, delivers detailed insights into content usage and engagement."
AT Internet,Mérignac,,France,251-500 Employees,1996,"AT Internet is a prominent provider of digital analytics solutions, offering a comprehensive Analytics Suite that enables users to measure audience engagement and optimize digital performance. Their key features include non-linear user path tracking and real-time data processing, making it a valuable resource for businesses seeking to enhance their analytics capabilities."
adaptive & co,Corfu,,Greece,11-50 Employees,2015,"The company is a data-driven marketing agency that specializes in Google Analytics consulting, offering services that enhance digital analytics through audits, advanced configurations, and actionable insights. As Certified Google Analytics Partners, they focus on ensuring accurate data collection and interpretation to empower organizations in making informed marketing decisions."
Anpee Digital Media P Limited,New Delhi,,India,251-500 Employees,,"Anpee Digital Media P Limited offers comprehensive web analytics services that go beyond mere data collection, guiding clients in optimizing their online presence through tools like Google Analytics. Their strategy focuses on measuring web performance and understanding audience behavior, which enables businesses to enhance visibility and drive conversions effectively."
Visitor Analytics,Munich,,Germany,11-50 Employees,2016,"Visitor Analytics is a software company that provides a comprehensive Website Intelligence Platform, offering tools for website statistics and visitor behavior analytics. Their features include real-time session recording, conversion funnel tracking, and heatmaps, all designed to simplify the understanding of web analytics for non-technical users while ensuring compliance with data privacy regulations like GDPR and CCPA."
BrightEdge,United States,,United States,251-500 Employees,2007,"BrightEdge offers a robust SEO platform that integrates with major web analytics tools like Google Analytics and Coremetrics, providing comprehensive insights into traffic, engagement, and revenue. This integration allows brands to measure and optimize their content performance effectively, linking SEO efforts directly to conversions and revenue."
Countly,London,,United Kingdom,11-50 Employees,2013,"Countly offers robust web analytics solutions that allow organizations to track user behavior and product performance on websites. With features that enable seamless integration and data visualization, Countly helps businesses enhance their marketing strategies and customer engagement through comprehensive insights."
InetSoft Technology,Piscataway Township,,United States,101-250 Employees,1996,"InetSoft is a business intelligence software manufacturer that specializes in analytics and reporting solutions, making it highly relevant for web analytics. Their offerings include flexible data visualizations and dashboards, enhanced by innovative technology that ensures efficient access to diverse information sources."
AppsFlyer,San Francisco,,United States,1001-5000 Employees,2011,"AppsFlyer provides a robust platform for web analytics, offering comprehensive tools that deliver accurate and actionable insights to enhance marketing strategies and drive conversions. With features like real-time reporting, cross-channel insights, and customizable dashboards, the company empowers data-driven professionals to optimize campaigns and improve customer retention effectively."
Contentsquare,Paris,,France,501-1000 Employees,2012,"Contentsquare is a prominent player in digital experience analytics, offering an AI-driven platform that provides in-depth insights into customer behavior across digital channels. Their tools go beyond traditional web analytics by delivering real-time, easy-to-understand metrics that help businesses enhance user experiences, optimize website performance, and ultimately improve conversion rates."
