name,city,state,country,employees,founded,description
Kimberly-Clark Professional,Neenah,,United States,10001+ Employees,2011,"The company highlights its commitment to creating hygienic and safe environments, offering a wide selection of high-quality products, including Kleenex® Naturals Facial Tissue. This brand is preferred by many for its superior performance and essential softness, making it an excellent choice for maintaining cleanliness and comfort in any setting."
Thamesmead Business Service Ltd,Cherwell District,,United Kingdom,51-100 Employees,,"The company distributes a wide range of janitorial supplies and equipment, which includes facial tissues. They emphasize quality and customer service, ensuring that clients have access to a diverse product lineup from leading manufacturers."
Velvet CARE,Warsaw,,Poland,501-1000 Employees,2013,"VelvetCARE emphasizes its commitment to creating lasting value for consumers and business partners through responsible practices. They offer facial tissues, highlighting their dedication to environmental awareness and innovation."
UNIPACK CONTAINERS AND CARTON PRODUCTS LLC,Umm Al Quwain,,United Arab Emirates,501-1000 Employees,1993,"Unipack is a manufacturer of high-quality facial tissues under the brand name DELUXE, offering soft, absorbent, and disposable options that serve as an ideal alternative to cloth handkerchiefs. Their facial tissues come in convenient packaging, making them a practical choice for consumers."
Elite Professional Ecuador,Guayaquil,,Ecuador,10001+ Employees,,"Elite Profesional, a brand of PROTISA ECUADOR, specializes in eco-friendly paper products, including a diverse range of facial tissues. The company emphasizes high quality and hygiene standards, making their products suitable for various markets like HORECA, industries, and healthcare."
Hotpack Global,Dubai,,United Arab Emirates,1001-5000 Employees,1995,"Hotpack Global is a prominent supplier of facial tissues, highlighting its position as a leading tissue paper provider in the UAE. The company's extensive product range and commitment to quality make it a reliable source for hygiene products, including facial tissues."
Resolute Tissue,Calhoun,,United States,501-1000 Employees,,"Resolute Tissue, a fully integrated tissue manufacturer in North America, offers Cube premium facial tissue, featuring 2-ply construction with 85 sheets per box, ensuring a high-quality product for consumers."
Tainwala Personal Care Products Pvt. Ltd.,Mumbai,,India,11-50 Employees,,"Tainwala is a leading producer of facial tissues, offering a variety of options including 100 Pulls X 2 Ply, 200 Pulls X 2 Ply, and 80 Pulls X 4 Ply. Their commitment to high-quality personal care products ensures comfort and cleanliness for consumers."
Fine Hygienic Holding,Amman,,Jordan,1001-5000 Employees,1958,"Fine Hygienic Holding is a manufacturer of high-quality hygienic paper products, including facial tissues. The company employs innovative technologies to ensure hygiene and quality, aligning with its commitment to sustainability and consumer needs."
Twin Rivers Paper Company,Caribou,,United States,1001-5000 Employees,,"The company specializes in high-quality specialty paper and offers fiber-based wipes and towelette papers, providing an environmentally friendly and cost-effective alternative to non-woven substrates. Their product lineup includes innovative packaging solutions and advanced technical papers, highlighting their commitment to product innovation and customer collaboration."
