name,city,state,country,employees,founded,description
UNITED GRINDING North America,Miamisburg,,United States,101-250 Employees,1984,"UNITED GRINDING North America, Inc. specializes in precision grinding machines and offers a wide range of products and services for CNC grinding, including support for tool grinding through its brands like WALTER and EWAG. Their comprehensive approach ensures customers receive expert training, maintenance, and technical support throughout the machine's lifecycle."
Erwin Junker Maschinenfabrik,Nordrach,,Germany,1001-5000 Employees,1962,"JUNKER is a leading manufacturer of high-precision grinding machines for the metalworking industry, offering advanced technology that enhances efficiency and provides competitive advantages."
eMAG,Cologne,,Germany,1001-5000 Employees,1867,"The EMAG Group specializes in advanced grinding technologies, offering a variety of machines designed for precise and efficient metalworking, particularly for hard materials and fine finishing processes. Their vertical grinding machines, such as the VLC 100 GT and VTC 100 GT, are specifically engineered for high productivity and precision in applications like crankshaft and camshaft machining."
WIDMA - Machining Solutions Group,Bengaluru,,India,501-1000 Employees,1984,"WIDMA, a brand of Kennametal, specializes in the design and manufacturing of tool grinding machines, including the Ezeegrind Pro+ which features two wheel pack changer stations for efficient grinding of both simple and complex round tools. This focus on advanced tool grinding technology positions WIDMA as a key player in the industry."
Gleason Corporation,City of Rochester,,United States,1001-5000 Employees,1865,"Gleason specializes in advanced workholding systems for the gear manufacturing industry, offering solutions that may include tools relevant for blade and cutter grinding. Their expertise and extensive product portfolio highlight their commitment to delivering comprehensive manufacturing solutions."
"Tooling Technology, LLC",United States,,United States,51-100 Employees,2006,"Tooling Tech Group emphasizes its grinding capabilities as a crucial part of the tool-making process, transforming raw materials into finely finished products. With expertise in various grinding techniques and the ability to achieve specific surface finishes, the company ensures high-quality tooling for applications across multiple industries."
GrindTec,Leipzig,,Germany,251-500 Employees,,"GrindTec is the premier international trade fair dedicated to tool grinding and machining, showcasing the latest innovations in grinding technology and attracting industry experts. The event highlights current industry trends, including advancements in tool grinding that are essential for professionals in the field."
ANCA CNC Machines,Wixom,,United States,251-500 Employees,1974,"ANCA is a prominent manufacturer of CNC grinding machines, specializing in CNC tool and cutter grinders, which are essential for tool grinding applications. The company's commitment to innovation and tailored solutions positions it as a key player in advanced manufacturing for various industries."
GrindingHub,Stuttgart,,Germany,11-50 Employees,2021,"GrindingHub is a key trade fair for grinding technology, highlighting innovations in grinding machinery and the importance of automation and digitalization in the industry. It serves as a vital networking platform for professionals, showcasing advancements that are crucial for the future of tool grinding."
Abrasive Technology,Orange Township,,United States,501-1000 Employees,1971,"Abrasive Technology specializes in superabrasive grinding wheels and tools, offering a diverse range of custom-engineered diamond and CBN grinding solutions for various applications, including tool grinding. Their innovative technologies and specialized products ensure precision and quality in grinding processes across multiple industries."
