name,city,state,country,employees,founded,description
Eagle Flexible Packaging,Batavia,,United States,101-250 Employees,1994,"Eagle Flexible Packaging specializes in innovative flexible packaging solutions, offering products like preformed pouches and rollstock with pre-applied zippers. Their advanced printing and converting capabilities ensure high quality and consistency, making them a strong partner for diverse packaging needs."
ePac Flexible Packaging,Austin,,United States,51-100 Employees,2016,"The company, ePac Flexible Packaging, specializes in providing affordable, customizable, and sustainable flexible packaging solutions, including stand-up and lay-flat pouches and roll stock. Their innovative approach emphasizes the importance of packaging in delivering brand messages and ensuring product safety, making it a valuable resource for various industries."
Flexible Packaging Plastic Bags,Houston,,United States,11-50 Employees,1987,"Flexible Packaging specializes in meeting customers' flexible packaging and plastic bag needs, offering custom manufacturing and low minimums for unique orders. With over 48 years of combined experience, they ensure fast turnaround and competitive pricing, making them a reliable partner for your packaging solutions."
Hood Packaging Corporation,United States,,United States,1001-5000 Employees,1978,"Hood Packaging is a prominent packaging supplier that specializes in flexible plastic packaging, boasting 23 plants across North America and a commitment to enhancing production efficiency through technical support."
flexible Packaging,Karachi Division,,Pakistan,11-50 Employees,2001,"Flexible Packaging is a prominent importer and stockist of kraft stand-up pouches, offering a variety of sizes and capacities to meet customer needs. Their packaging features an excellent moisture barrier, ensuring freshness, and their commitment to tracking market trends guarantees that they provide up-to-date offerings."
Plastic Packaging Technologies,Kansas City,,United States,251-500 Employees,,"Plastic Packaging Technologies (PPT) is a leading manufacturer of flexible packaging products, offering a wide selection of formats designed to enhance shelf presence and consumer value. Their commitment to quality and innovation ensures that clients can differentiate their products through advanced packaging solutions."
Sonoco Products Company,Hartsville,,United States,10001+ Employees,1899,"Sonoco Products Company offers integrated packaging solutions that enhance brand personalities and customer experiences, particularly through their flexible packaging products. Their focus on optimizing the product-to-package ratio with lightweight and efficient flexible materials demonstrates their commitment to improving product quality and sustainability."
Flexible Pack,New Bedford,,United States,51-100 Employees,,"Flexible Pack specializes in innovative flexible packaging solutions, offering a variety of products such as flexible pouches and specialized labels for sectors like food and beverages. Their commitment to sustainable practices and advanced digital printing technology enhances brand visibility and market appeal."
Emmerson Packaging,Amherst,,Canada,251-500 Employees,1956,"Emmerson Packaging is a leading manufacturer of custom flexible packaging solutions, emphasizing sustainability with innovative products like recyclable and biodegradable options. Their diverse offerings include stand-up pouches and premium finishes, all produced using advanced printing technology to meet the needs of various industries."
FFP Packaging Solutions Ltd,Northampton,,United Kingdom,101-250 Employees,1967,"The company, FFP Packaging, is a leading flexible packaging manufacturer with over 55 years of experience, offering comprehensive and innovative solutions tailored to meet diverse packaging needs. They emphasize sustainability in their flexible packaging developments, creating environmentally friendly materials and formats that align with modern waste collection systems."
