name,city,state,country,employees,founded,description
Sports Analytics World,Buenos Aires,,Argentina,1-10 Employees,2020,"The company specializes in sports analytics, offering AI-powered tools and data science solutions designed to enhance performance and optimize outcomes for athletes, teams, and organizations. Their services facilitate data-driven decision-making, making them a key player in the intersection of advanced analytics and the sports industry."
Sportalytics Private Limited,Chennai,,India,11-50 Employees,2015,"Sportalytics is dedicated to enhancing sports performance through technology and offers a range of services, including sports data, analytic reports, and performance analysis."
Perform Group,London,,United Kingdom,1001-5000 Employees,2007,"Stats Perform maximizes the value of over 40 years of global sports coverage through advanced AI and machine learning, providing insights that drive audience growth and revenue for leading teams, broadcasters, and brands. Their unique combination of AI capabilities and extensive data resources positions them to meet the evolving content needs of the modern sports fan."
Analytics FC,United Kingdom,,United Kingdom,1-10 Employees,2015,"The company, Analytics FC, specializes in sports analytics by providing data-driven solutions that empower sports organizations and players to make informed decisions. Their market-leading services include data scouting, recruitment, and performance analysis, equipping clients with the tools needed to enhance their strategic goals in the competitive sports landscape."
STATSCORE,Katowice,,Poland,501-1000 Employees,2012,"STATSCORE specializes in collecting and presenting high-quality sports data through innovative products tailored for betting, media, and sports organizations. Their offerings include sports widgets, data feeds, and minisites, featuring pre-match statistics and live coverage for over 30 popular sports, ensuring clients have access to advanced match statistics and engaging user experiences."
Sports Reference,Philadelphia,,United States,1-10 Employees,2007,"Sports Reference is dedicated to providing comprehensive and up-to-date sports statistics, making it a valuable resource for sports analytics. Their commitment to both basic and advanced metrics caters to a wide range of sports fans and analysts."
The Sports Office,Wigan,,United Kingdom,11-50 Employees,2006,"The Sports Office is a key player in the sports analytics industry, offering a comprehensive Athlete Management System that facilitates the centralized management of performance-related data for teams and organizations. Their solutions are utilized by prominent sports leagues, including the Premier League, enhancing performance management and providing valuable insights for athletes, coaches, and management."
Sportlogiq,Montreal,,Canada,51-100 Employees,2013,"Sportlogiq, founded by Olympic athlete Craig Buntin and expert in computer vision and machine learning Mehrsan Javan, emphasizes the critical role of advanced sports analytics in enhancing training and performance. With a focus on AI-powered solutions, the company has expanded its analytics services from professional hockey to major sports teams globally."
Kitman Labs,Dublin,,Ireland,101-250 Employees,2012,"Kitman Labs specializes in sports performance analytics, offering a comprehensive platform that delivers actionable insights and reliable data for athletes and teams. Their outcome-driven analytics focus on optimizing human achievement and addressing injury risk, making it a valuable resource for enhancing athletic performance."
Sports4Cast,London,,United Kingdom,1-10 Employees,2020,"The company specializes in sports analytics, providing data analysis and predictions for major sports events through extensive databases and machine-learning algorithms. Their services support teams, broadcasters, and event organizers, enhancing performance monitoring and fan engagement, as demonstrated through their offerings for Sunderland AFC and Super League."
