name,city,state,country,employees,founded,description
Heinrich Georg GmbH,Kreuztal,,Germany,,,"With our new GEORG toolingrobot we offer a smart and modular tool management system. The system, dedicated for high flexible production facilities with highest demands on automation, productivity and connectivity. It is designed for existing slitting lines of other brands and, of course, for all GEORG slitting lines."
Robotics Company For Computer Systems,Alexandria,,Egypt,11-50 Employees,2006,"Robotics is recognized as a leading company in IT solutions and has been active in the computer field since 2006. Their expertise includes surveillance systems and networking, showcasing their commitment to advanced technology and customer satisfaction."
Freedom Robotics,San Francisco,,United States,11-50 Employees,2018,"Freedom Robotics develops advanced control and monitoring software that empowers robotics companies to efficiently build, operate, and scale their robotic fleets. Their remote control and teleoperation tools enhance team operations, allowing for GPS-driven navigation and real-time data access for effective problem-solving and system monitoring."
Hikrobot,Hangzhou City,,China,1001-5000 Employees,,"Hikrobot specializes in mobile robot technology, offering advanced intelligent intralogistics solutions through their innovative mobile robot products and software. Their expertise in industrial vision sensing also enhances the capabilities of their robotics applications."
Robotec.AI,Warsaw,,Poland,11-50 Employees,2019,"Robotec.ai is a software company specializing in high-tech solutions for automated and connected vehicles, with a strong focus on robotics and autonomous mobility. Their multi-disciplinary teams bring expertise in robotics, software development, and machine learning, contributing to the advancement of this field."
HAI ROBOTICS,Shenzhen,,China,501-1000 Employees,2016,"Hai Robotics is a leader in robotics technology, known for its innovative HaiPick solution, the world's first Autonomous Case-handling Mobile Robot (ACR) system. Their commitment to enhancing operations through robotic automation directly addresses the evolving needs of industries like logistics and manufacturing."
Universal Robots,Odense,,Denmark,501-1000 Employees,2005,"Universal Robots offers collaborative robots (cobots) designed to enhance automation in various tasks, particularly in quality inspection. The UR20, part of their next generation of industrial cobots, emphasizes performance while maintaining versatility and ease of use, making robotic automation accessible for companies of all sizes."
EasyRobotics,Sønderborg,,Denmark,1-10 Employees,2014,"EasyRobotics is a pioneer in designing and manufacturing industrial automation solutions, particularly for collaborative robots. Their expertise in robotics makes them a key player in the field of industrial automation."
Rapyuta Robotics,Tokyo,,Japan,101-250 Employees,2014,"The company specializes in robotics, offering solutions like the Rapyuta PA-AMR, which enhances work efficiency by automating picking operations, reducing workers’ workload, and addressing labor shortages. Their approach emphasizes simple integration and the use of data to improve productivity and streamline operations."
READY Robotics,Columbus,,United States,11-50 Employees,2016,"The company specializes in enhancing robotic systems, offering solutions that integrate seamlessly with various robot brands to improve automation in High-Mix/Low-Volume manufacturing. Their innovative software, ForgeOS, simplifies programming and operating robots, making robotic automation more accessible."
