name,city,state,country,employees,founded,description
Aon,London,,United Kingdom,10001+ Employees,1982,"Aon specializes in marine insurance, offering a wide range of solutions including hull and machinery coverage, protection and indemnity, and cargo insurance. Their marine team collaborates with key industry players, providing expertise and comprehensive claims services to address the needs of clients in a challenging market."
United Insurance Brokers Limited,London,,United Kingdom,51-100 Employees,1986,"United Insurance Brokers Limited (UIBL) specializes in marine insurance, offering solutions for Marine Hull and P&I as well as Marine Cargo. Their expertise in strategic risk management and claims handling enhances their reputation in providing comprehensive insurance and reinsurance risk solutions."
Mediterranean Shipping Company,Geneva,,Switzerland,10001+ Employees,1970,"MSC Cargo Insurance offers comprehensive coverage for maritime and inland transportation, protecting your cargo from various risks such as loss or damage due to fire, weather events, and theft. With a personalized approach and partnerships with top insurance providers, MSC ensures that businesses have tailored insurance solutions to safeguard their supply chains effectively."
Arabia Insurance Company,Basta Tahta,,Lebanon,251-500 Employees,1944,"Arabia Insurance Company offers comprehensive marine insurance solutions, including coverage for imported and exported cargoes against various perils, as well as hull insurance for vessels, leisure boats, and aircraft. Their commitment to customer service and innovative approaches ensures effective protection for clients' marine assets."
EURORISK SA,Piraeus,,Greece,1-10 Employees,1996,"Eurorisk SA is a specialized service provider in marine insurance, offering a wide range of products such as Marine Hull Insurance, P&I Insurance, and Marine Cargo Insurance, backed by over two decades of experience. The company focuses on consulting clients and effectively managing their risks in the international insurance market, ensuring comprehensive protection for various maritime ventures."
Gallagher Skippers’ Plan,Markham,,Canada,10001+ Employees,1927,"Gallagher Canada Limited is a specialist in marine insurance, offering comprehensive boat insurance coverage tailored to various types of boats. With over 70 years of experience, Gallagher provides expert advice and customized solutions, ensuring peace of mind for Canadian boaters."
Bryte Insurance Company Limited,Johannesburg,,South Africa,501-1000 Employees,1965,"Bryte Insurance Company Limited specializes in Marine Insurance, providing comprehensive cargo and freight liability coverage for companies engaged in domestic and international trade. Their offerings include access to expert underwriters, optional covers, and significant capacity to manage large risks, making them well-equipped to meet the needs of manufacturers, retailers, wholesalers, and freight forwarders."
Thomas Miller,London,,United Kingdom,501-1000 Employees,1885,"Thomas Miller specializes in marine insurance through its management of the UK P&I Club, a leading provider of mutual insurance for third-party liabilities of ocean-going merchant ships. Additionally, the company oversees the UK Defence Club and Hellenic War Risks Club, which offer legal costs insurance and mutual war risks insurance, respectively, further enhancing its expertise in maritime risk management."
Lloyd's,London,,United Kingdom,1001-5000 Employees,1688,"Lloyd’s is a prominent insurance and reinsurance marketplace that offers specialized insurance solutions across various industries, making it a key player in marine insurance. With a commitment to innovation and risk-sharing, Lloyd's provides a platform that supports the development of tailored insurance products to meet diverse global customer needs."
CNA Insurance Company,Chicago,,United States,5001-10000 Employees,1897,"CNA offers a comprehensive range of marine insurance solutions, including Marine Cargo, Marine Liability, and Hull and Protection and Indemnity (P&I), tailored to safeguard businesses against the complexities and risks of global supply chains. With extensive technical expertise and dedicated risk control specialists, CNA ensures effective management of marine-related exposures and claims."
