name,city,state,country,employees,founded,description
Generate Upcycle,Spartanburg,,United States,251-500 Employees,,"Generate Upcycle specializes in transforming organic waste into renewable energy and fertilizers through innovative technologies like anaerobic digestion and composting. With over 20 recycling sites, the company plays a crucial role in sustainable waste management and addresses climate change by recycling food waste and other organics."
UPCYCLEA,Paris,,France,11-50 Employees,2016,"Upcyclea is a BtoB service provider that specializes in software solutions promoting upcycling and the transition to a circular economy. By leveraging artificial intelligence and structured data, Upcyclea supports professionals in maximizing resource efficiency and decarbonizing their assets, aligning with sustainable practices and compliance with European standards."
Loop Upcycling,Australia,,Australia,11-50 Employees,2017,"Loop Upcycling is a pioneering social enterprise in Australia, dedicated to sustainable textile solutions through a three-staged process of redistribution, upcycling, and recycling. They focus on transforming redundant uniforms and materials into new products, effectively diverting textile waste from landfills and providing employment opportunities for individuals facing barriers to work."
THE UPCYCL,Aarhus,,Denmark,1-10 Employees,2020,"THE UPCYCL is dedicated to upcycling by connecting industry waste and residual materials with designers and developers through its material database. This approach not only provides a steady supply of usable materials but also supports the circular economy, aiming to minimize resource waste and promote sustainable practices."
Upcycling,Viçosa,,Brazil,1-10 Employees,2020,"UPCYCLING is a service provider that specializes in active reverse logistics for empty packaging, highlighting their commitment to sustainable waste disposal. Their innovative up! bin and dedicated upcycling platform encourage responsible waste management, making it easier for businesses and individuals to contribute positively to the environment through effective recycling practices."
Upcycle Labs,Nottingham,,United Kingdom,11-50 Employees,,"Upcycle Labs is a leading innovator in upcycling, specializing in transforming fashion waste into new high-quality products like décor and store fittings. Their patented technology enables a zero-waste process that not only recycles 100% of received waste but also supports sustainability and cost-effectiveness for fashion brands and retailers."
UpCycle,Paris,,France,11-50 Employees,2011,"UpCycle is a specialized manufacturer and service provider focused on urban composting solutions, offering comprehensive equipment and expertise to effectively manage biowaste and produce high-quality compost. By promoting on-site composting, UpCycle helps businesses and municipalities reduce their carbon footprints and foster sustainable practices, thereby contributing to a circular economy and enhancing local food production."
Upcycle USA,Howell Township,,United States,51-100 Employees,2011,"UPCYCLE USA specializes in Electronic Waste Recycling and E-Waste Disposal, offering customized, environmentally responsible solutions for managing end-of-life IT equipment. Their commitment to sustainability and data security aligns with the principles of upcycling, as they focus on innovative ways to repurpose and responsibly dispose of electronic assets."
ReFunk,Dublin,,Ireland,1-10 Employees,2020,"ReFunk is an eCommerce platform dedicated to upcycling, connecting freelance upcyclers with customers to transform furniture and promote sustainability. By empowering craftspeople to repurpose items and extend their lifespan, ReFunk actively supports a circular economy and helps divert significant waste from landfills."
Upcycled Inc.,Columbia,,United States,1-10 Employees,2020,"Upcycled Inc. is dedicated to upcycling post-consumer plastic waste into sustainable building materials, such as 2x4's and other structures, which are then donated to enhance community spaces. Their main initiative, the Waste to Wonder program, not only transforms waste into long-lasting products but also engages and educates the community about sustainability."
