name,city,state,country,employees,founded,description
Luxottica Group SpA,Milan,,Italy,10001+ Employees,1961,"Luxottica Group is a prominent player in the eyewear industry, specializing in premium, luxury, and sports eyewear. With significant net sales and a strong workforce, the company emphasizes sustainability in its business strategy."
Vision Express Group,Rushcliffe,,United Kingdom,1001-5000 Employees,1994,"Vision Express offers a wide range of eyewear, including prescription glasses and sunglasses, featuring a revolutionary inverted lens shape. Customers can conveniently shop online or visit local stores for eye tests and lens purchases."
Bailey Nelson,Sydney,,Australia,501-1000 Employees,2012,"Bailey Nelson Australia offers a range of handcrafted premium eyewear, including custom-made prescription glasses, ensuring that you not only see well but also make a stylish statement. Their products start at $169 and include non-prescription polarized lenses."
Eyeglass World,Lawrenceville,,United States,1001-5000 Employees,,"Eyeglass World is a prominent retailer specializing in eyewear, offering a wide selection of eyeglasses, contact lenses, and sunglasses, along with eye care services like eye exams. With over 100 locations and same-day service, they feature designer brands and prioritize exceptional customer service."
Happy Vision,Egypt,,Egypt,51-100 Employees,2011,"The company specializes in vision correction products and services for the whole family, offering a wide range of eyeglasses and sunglasses through its partnership with Safilo, a leading eyewear producer. Their commitment to quality and exceptional customer care is evident in their extensive collection, which includes fashionable frames and contact lenses for all ages."
Essilor,Charenton-le-Pont,,France,10001+ Employees,1972,"Essilor is a prominent manufacturer in the eyewear industry, offering a wide range of lenses and eyewear products, including sunglasses and ophthalmic goods. The company's commitment to innovation and research ensures that they provide advanced solutions for improving and protecting eyesight."
Designer Eyes,Sunrise,,United States,101-250 Employees,,"Designer Eyes is a luxury eyewear retailer that offers a diverse range of meticulously designed sunglasses and eyeglasses, combining cutting-edge technology with artistic flair. Their collection features exclusive styles from renowned brands, ensuring customers find both functionality and aesthetics in their eyewear choices."
Kering Eyewear,Padua,,Italy,1001-5000 Employees,2014,"Kering Eyewear is a leading player in the luxury eyewear market, highlighting its prominence and expertise in this segment. As part of the Kering Group, it develops a range of renowned luxury brands."
Eyes N Optics,Canada,,Canada,1-10 Employees,,"The company specializes in handmade European and designer vintage eyewear, offering a variety of products including eyeglasses, sunglasses, and ski goggles, along with prescription eye exams and exceptional customer service."
specsmakers,Chennai,,India,251-500 Employees,2011,"Specsmakers specializes in providing stylish and high-quality eyewear at affordable prices, with a diverse range that includes eyeglasses, computer glasses, and sunglasses. With over 250 retail locations, they aim to enhance the eyewear shopping experience, making it convenient and enjoyable for customers."
