name,city,state,country,employees,founded,description
Vertical Future,London,,United Kingdom,51-100 Employees,2016,"Vertical Future is a leading company in the vertical farming industry, dedicated to enhancing crop production efficiency and improving planetary health. They focus on developing advanced systems and solutions that enable year-round production and precision growing, actively seeking partnerships and research opportunities in this sector."
AeroFarms,Newark,,United States,101-250 Employees,2004,"AeroFarms is an award-winning vertical farming company that utilizes advanced indoor farming techniques and AgTech to ensure year-round commercial production of flavorful and nutritious food. They focus on optimizing plant growth in a controlled environment, addressing major agricultural challenges through innovative practices and stringent food safety standards."
iFarm,Helsinki,,Finland,11-50 Employees,2017,iFarm offers a range of vertical farming technologies designed for professional cultivation in controlled environments.
CubicFarm Systems,City of Langley,,Canada,51-100 Employees,2015,"CubicFarms specializes in innovative indoor farming technologies, including automated and modular systems that enable the commercial-scale production of plants and livestock feed. Their mission to transform agriculture through sustainable practices directly addresses the challenges faced by traditional outdoor farming."
Plenty,South San Francisco,,United States,251-500 Employees,2014,"Plenty® is revolutionizing agriculture through indoor vertical farming, which allows for the growth of fresh, flavorful, pesticide-free produce while significantly reducing water and land usage. Their innovative approach makes it possible to cultivate crops in urban areas and deserts, promoting local food production."
Rising Farms,Querétaro,,Mexico,501-1000 Employees,2020,"Rising Farms specializes in high-tech indoor farming, utilizing advanced technology and sustainable practices to grow premium quality vegetables in controlled environments. Their innovative approach significantly reduces water consumption and increases yield, aligning with the principles of vertical farming."
80 Acres Farms,United States,,United States,251-500 Employees,2015,"80 Acres Farms utilizes advanced vertical farming techniques that allow a small footprint to produce food equivalent to much larger traditional farms, achieving up to 300 times more yield per square foot. Their sustainable practices include using 100% renewable energy and significantly reducing water usage compared to conventional farming."
V-FarmHG,Coventry,,United Kingdom,1-10 Employees,2014,"V-Farm, a leading innovator in urban agriculture from HydroGarden, specializes in vertical farming solutions that optimize space and environmental efficiency for reliable and safe food production in cities and remote areas. Their modular and scalable systems ensure a constant supply of plants, independent of season and climate, making them a key player in the future of sustainable agriculture."
YesHealth Group,Taipei,,Taiwan,,,"Leafood is launching a vertical farm in Vilnius, ensuring year-round availability of fresh, nutrient-rich produce like salads and herbs for the local market. Their complete indoor vertical farming solution incorporates advanced technology, highlighting their commitment to sustainable food systems."
FutureFarms,Chennai,,India,51-100 Employees,2014,"FutureFarms is a leading provider of hydroponic and precision farm automation solutions in India, specializing in vertical farming technologies that promote sustainable agriculture. Their turnkey solutions encompass efficient installation and advanced grower management, making it easier for corporates to implement innovative growing practices."
