name,city,state,country,employees,founded,description
Simulab Corporation,Seattle,,United States,101-250 Employees,1994,"Simulab has been dedicated to enhancing medical education through its innovative medical simulators and task trainers since 1994. Their products, including specialized trainers for pediatric and adult procedures, utilize advanced technology to provide realistic and effective training experiences for healthcare professionals."
Medical Simulator,Pozuelo de Alarcón,,Spain,11-50 Employees,1992,"Medical Simulator is the leading provider in Spain of comprehensive clinical simulation solutions, focusing on enhancing patient safety and optimizing healthcare services through innovative technology. Their offerings enable the development of essential skills in a safe environment, making them a key player in medical simulation and training for health sciences education."
CAE Healthcare,Sarasota,,United States,101-250 Employees,1996,CAE Healthcare focuses on simulation-based medical education solutions that enhance provider training and improve patient safety and outcomes.
Surgical Science,Gothenburg,,Sweden,11-50 Employees,1999,"Surgical Science is a prominent provider of virtual reality simulators specifically designed for medical training. Their focus on medical VR simulation training enhances skills for minimally invasive procedures, ultimately contributing to improved patient safety."
Sim & Skills,Northampton,,United Kingdom,1-10 Employees,2020,"The company specializes in medical simulation and clinical skills education, offering a wide range of simulators and training equipment for healthcare professionals. Their expertise and commitment to improving patient care make them a valuable resource for accessible and effective medical training."
MedVision,Tampa,,United States,51-100 Employees,2012,"MedVision is dedicated to transforming medical training through advanced simulation solutions, empowering healthcare professionals with innovative tools that enhance proficiency and patient outcomes. Their commitment to quality and comprehensive training programs positions them as a trusted partner in simulation-based learning."
Mavericsolution,New Delhi,,India,11-50 Employees,2005,"Maverick Simulation Solutions Private Limited specializes in advanced medical simulation, aiming to enhance patient safety through innovative training and assessment tools. Their state-of-the-art simulators facilitate a structured learning environment that bridges the gap between theory and practice in medical education, ultimately reducing medical errors and saving lives."
LIFESIMDU,Dubai,,United Arab Emirates,1-10 Employees,2013,"LIFE SIMULATION MEDICAL specializes in high-fidelity simulators and innovative solutions for medical education, covering diverse areas such as trauma, surgical procedures, and advanced life support. Their offerings include task trainers, skills aids, and consulting services for simulation centers, ensuring comprehensive training for healthcare professionals."
Laerdal Medical,Village of Wappingers Falls,,United States,1001-5000 Employees,1940,Laerdal Medical offers a comprehensive range of high-fidelity medical simulation solutions designed to enhance decision-making skills and improve teamwork among healthcare professionals. Their NextGen vSim® for Nursing specifically focuses on developing clinical reasoning and confidence in nursing students through evidence-based virtual scenarios.
Center for Medical Simulation,Boston,,United States,11-50 Employees,1993,"The company, CMS, offers prestigious healthcare simulation programs designed to enhance the skills of medical providers through realistic training experiences. Their extensive expertise and innovative approaches focus on improving safety, quality, and education in healthcare, making them a leader in the field since 1993."
