name,city,state,country,employees,founded,description
Scanway,Halifax,,Canada,51-100 Employees,1981,"Scanway Catering, a full-service catering company in Halifax, Nova Scotia, specializes in offsite catering, weddings, and event design, boasting over 70 years of culinary experience."
ezCater,Boston,,United States,501-1000 Employees,2007,"ezCater specializes in corporate food solutions, connecting clients with a vast network of restaurants and caterers to streamline the catering process for various organizational needs. Their platform offers logistical support and emphasizes customer service, making it a trusted resource for businesses looking to manage and centralize their catering efforts."
Servair,France,,France,5001-10000 Employees,1971,"SERVAIR is a prominent player in the airline catering industry, providing a wide array of services that enhance passenger comfort, including airline catering and cabin cleaning. With operations at around 44 airports worldwide, SERVAIR caters to approximately 120 client airlines, ensuring high quality and adherence to strict protocols."
Saudi Airlines Catering Company,Jeddah,,Saudi Arabia,1001-5000 Employees,1981,"CATRION is a specialized provider of culinary and hospitality services, offering a diverse array of catering solutions, including in-flight catering and services for various institutions. Their focus on quality and innovative culinary experiences ensures that every catering opportunity is designed to delight and meet specific needs."
Cater Plus Services NZ Ltd,Hamilton,,New Zealand,251-500 Employees,2006,"Cater Plus is a New Zealand-based food service company that specializes in innovative catering solutions for various sectors, including healthcare and corporate functions. They manage over 70 kitchens and cafes, providing services such as daily hot lunches, event catering, and support for food safety."
BaxterStorey,Reading,,United Kingdom,5001-10000 Employees,2000,"The company specializes in hospitality and catering solutions, offering a variety of services such as fine dining and event catering, tailored to meet clients' specific needs. Their focus on creativity and individuality aims to enhance hospitality experiences."
apetito catering B.V. & Co. KG,Rheine,,Germany,5001-10000 Employees,,"The company is a catering service provider that specializes in operational and care gastronomy, offering high-quality food and beverage solutions for businesses and corporations. They prioritize client engagement and innovation, ensuring that every meal is crafted with attention to detail and a commitment to customer satisfaction."
FR Catering,Reichenberg,,Germany,51-100 Employees,1987,"The company offers a range of catering services, including event catering, trade fair catering, and corporate catering, ensuring a focus on high-quality food and personalized service. Their expertise in planning and collaboration with clients enhances the overall catering experience."
Prince Food Systems Inc.,United States,,United States,251-500 Employees,1929,"Prince Food Systems specializes in managed food services and offers a wide range of quality catering solutions. With a focus on fresh, high-quality food prepared from scratch, they aim to enhance satisfaction across various sectors, including business and healthcare."
Royal Catering Services L.L.C.,Abu Dhabi,,United Arab Emirates,1001-5000 Employees,2003,"Royal Catering, LLC is a leading full-service catering provider that offers a diverse range of culinary solutions for various events, including corporate gatherings, weddings, and private parties. With the capacity to deliver over 55,000 meals daily from one of the UAE's largest central kitchens, the company emphasizes quality and innovation in its catering experiences."
