name,city,state,country,employees,founded,description
Sustainable Packaging News,Norwich,,United Kingdom,1-10 Employees,2020,"The company is committed to leading in sustainability by showcasing the latest sustainable packaging solutions and strategies. They offer essential, up-to-date information on various aspects of sustainable packaging, including circular economy, recyclability, and biodegradable options."
NAMPAK ZIMBABWE LTD,Harare,,Zimbabwe,1001-5000 Employees,1968,"Nampak, Africa’s largest packaging manufacturer, offers a wide range of packaging solutions and emphasizes sustainability in its operations. The company's focus on innovative packaging materials and value-added services positions it to meet diverse customer needs while prioritizing eco-friendly practices."
Sonoco Products Company,Hartsville,,United States,10001+ Employees,1899,"Sonoco Products Company emphasizes its commitment to sustainable packaging through its EnviroSense® line, which is designed with a focus on innovation and versatility. Their integrated packaging solutions not only enhance product quality but also aim to improve the quality of life for communities and the environment."
EcoPackables,Encinitas,,United States,11-50 Employees,,"The company is a leading provider of sustainable packaging in North America, exclusively focusing on eco-friendly materials and offering a wide range of 100% compostable products. They provide sustainability data to help businesses assess their impact and promote their commitment to innovative, sustainable packaging solutions."
ePac Flexible Packaging,Austin,,United States,51-100 Employees,2016,"The company, ePac Flexibles, emphasizes its commitment to sustainable packaging through its innovative flexible packaging solutions, which are designed to be affordable, customizable, and eco-friendly. They offer a variety of high-quality, sustainable pouch and roll stock options that not only enhance product safety and shelf life but also align with environmentally conscious practices."
Atlantic Packaging Products Ltd,Canada,,Canada,1001-5000 Employees,1945,"Atlantic Packaging Products is committed to providing innovative and sustainable packaging solutions, positioning itself as a leader in eco-conscious practices. With a focus on lasting customer partnerships, the company emphasizes its dedication to sustainability and tailored packaging products that cater to the growing need for environmentally friendly options."
Orora Packaging Solutions,Buena Park,,United States,251-500 Employees,1947,"Orora Packaging Solutions is dedicated to leading the transition to a more sustainably packaged future by offering renewable, recyclable, and reusable packaging solutions. Their expertise in sustainable packaging spans various markets, ensuring that businesses can effectively meet their sustainability goals through innovative practices and strategic partnerships."
Winfried Wirth,Endingen,,Germany,10001+ Employees,1940,"The company, DS Smith, is dedicated to being a leading supplier of sustainable packaging solutions, emphasizing their commitment to innovation and quality through the use of sustainable corrugated cardboard. Their focus on sustainable, plastic-free packaging and integrated recycling services highlights their role in promoting environmentally friendly practices in the packaging industry."
Better Packaging Co.,Waitematā,,New Zealand,11-50 Employees,2018,"The company specializes in eco-friendly and sustainable packaging solutions, offering customizable products like compostable satchels and recycled poly mailers. Their innovative POLLAST!C packaging, made from rescued ocean-bound plastic, underscores their commitment to reducing environmental impact and reversing pollution."
West Packaging,Reocín,,Spain,51-100 Employees,1991,"West Packaging is a leading player in the sustainable packaging sector, offering a wide range of high-quality compact board products and a commitment to sustainable printing practices. Their investment in innovative technology further enhances their capability to meet the growing demand for eco-friendly packaging solutions."
