name,city,state,country,employees,founded,description
The Tshirt Factory Europe Ltd,Leicester,,United Kingdom,11-50 Employees,2008,"The T-Shirt Factory specializes in a comprehensive range of services related to t-shirt production, including garment manufacturing, screen printing, sublimation printing, and embroidery, ensuring high-quality design-to-delivery merchandising."
Custom Ink,United States,,United States,1001-5000 Employees,2000,"Custom Ink specializes in custom t-shirts and apparel, offering services like screen printing, digital printing, and embroidery. They provide a range of design resources and support for both individuals and groups, making it easy to create personalized clothing for events, promotions, and more."
Lesova Holdings (Pvt) Ltd.,Colombo,,Sri Lanka,11-50 Employees,2015,The company offers a variety of stylish T-shirts designed to cater to different tastes and preferences.
T-shirt.ca,Vancouver,,Canada,11-50 Employees,2004,"T-shirt.ca is a leading online distributor of high-quality blank t-shirts, offering a diverse range of customizable options at wholesale prices. With a focus on the Canadian market, the company features well-known brands, ensuring affordability and versatility in their products."
Staples Promotional Products,Overland Park,,United States,1001-5000 Employees,,"The company specializes in creating custom-branded merchandise, including apparel like the District® Men's Perfect Tri® Crew T-Shirt. Their advanced technology and robust supply chain enable customers to design and order personalized T-shirts quickly and efficiently."
tshirt.se,Gällstad,,Sweden,1-10 Employees,1961,"At tshirt.se, you can get customized clothing and accessories, including a variety of T-shirts, designed to your specifications. They offer printed garments using techniques like screen printing, transfer printing, and DTG, ensuring a wide selection and fast turnaround times."
Shirt By Shirt,Sancaktepe,,Turkey,251-500 Employees,2000,
1-800-Tshirts,Dubuque,,United States,11-50 Employees,2005,"At 1-800-TShirts, the company specializes in crafting exceptional custom T-shirt solutions, emphasizing quality, innovation, and customer satisfaction. With a commitment to evolving and staying ahead of trends, they offer a wide selection of customizable T-shirts perfect for businesses, sports teams, and family events."
Tees Bazaar,Chennai,,India,11-50 Employees,2016,"TeesBazaar is a manufacturer, supplier, and exporter of a wide range of t-shirts, including Dri Fit, V-necks, round necks, and branded options. With a commitment to quality and a diverse product line, they cater to various casual fashion needs across major cities in India."
Stuff Limited,Dhaka,,Bangladesh,51-100 Employees,2015,"Stuff Limited is a manufacturer of knit garments in Bangladesh, producing a diverse range of apparel, including tee shirts. With a capacity to produce over 80,000 basic tee shirts per month and advanced production techniques, they ensure high-quality and vibrant designs."
