name,city,state,country,employees,founded,description
Wuxi Cepheus Stainless Steel Co. Ltd,Wuxi City,,China,11-50 Employees,1995,"The company is a leading global manufacturer and supplier of metal products, emphasizing its extensive experience and ISO9001:2000 certification."
United Performance Metals,United States,,United States,251-500 Employees,1982,"United Performance Metals (UPM) specializes in high-performance metals and alloys, including a comprehensive inventory of nickel alloys."
Corrotherm International Ltd,Eastleigh,,United Kingdom,11-50 Employees,1992,"The company, Corrotherm, offers a specialized range of INCONEL® products that provide heat and corrosion-resistant alloy solutions for various applications. Their extensive portfolio and commitment to quality ensure that they can meet individual project specifications effectively."
Bodycote,Macclesfield,,United Kingdom,5001-10000 Employees,1923,"Bodycote specializes in heat treatment and thermal processing services that enhance the properties of metals and alloys, including nickel-based alloys. Their expertise in solution treating and age hardening can significantly improve the desirable characteristics of these materials."
INCO SPECIAL ALLOYS,-,,-,,,"Inco Special Alloys is a trusted manufacturer and supplier of high-quality Inconel pipes and tubes, among other specialty alloys. They emphasize customization and strong client relationships, ensuring quick delivery and competitive pricing."
Inconel Pipe & Tube,Mumbai,,India,1-10 Employees,,"The company specializes in manufacturing and exporting a wide range of Inconel products, including pipes, tubes, flanges, fittings, plates, and sheets. With a strong stock and expertise in various Inconel alloys, they are a leading supplier, particularly noted for their Inconel 600, 601, and 718 offerings."
Supreme Special Steels,Navi Mumbai,,India,251-500 Employees,1987,"The company specializes in manufacturing high-quality special alloys, including Inconel 800, which is known for its exceptional high-temperature strength and corrosion resistance. This alloy is particularly suitable for demanding environments like chemical processing and power generation, making it integral to industries such as aerospace and defense."
Lebronze alloys,Suippes,,France,1001-5000 Employees,1934,"Lebronze Alloys specializes in high-performance copper and nickel alloys, including Hardibron® (CuNi14Al3Fe1), which is specifically designed for applications in the Oil & Gas sector. Their innovative approach and extensive range of tailored alloys make them a key player in providing solutions for demanding industrial environments."
T&T Materials Inc.,City of Rochester,,United States,1-10 Employees,2006,"The company is recognized as a leading supplier of raw materials, including Inconel and super alloys, highlighting its expertise in this specialized area."
Lincoln Electric,Cleveland,,United States,10001+ Employees,1895,"The company specializes in manufacturing advanced welding products and automated solutions, which may include specialized filler metals for exceptional welding, relevant to the query about Inconel. Their extensive manufacturing capabilities and focus on comprehensive welding processes position them as a key player in delivering high-quality welding solutions."
