name,city,state,country,employees,founded,description
ABC Infant Formula,Houston,,United States,11-50 Employees,1987,"ABC Infant Formula emphasizes its commitment to providing high-quality, custom infant formulas designed with the health and nutrition of babies in mind, backed by extensive experience and advanced research."
Ausnutria Operations B.V.,Zwolle,,Netherlands,501-1000 Employees,1989,"The company, Ausnutria, has over 70 years of experience in the development and production of infant formula, offering products based on goat milk and organic cow milk under their brands Kabrita and Neolac. They support companies in launching their infant formula brands, emphasizing the importance of quality and composition that aligns with the standards of breast milk."
Hochdorf,Hochdorf,,Switzerland,501-1000 Employees,1895,"HOCHDORF is a key player in the infant formula market, offering a range of products including lactose-free milk powder and specialized baby food. Their expertise in powder drying enables them to develop innovative and complex nutritional solutions for infants and consumers of all ages."
ByHeart,New York,,United States,11-50 Employees,2016,"The company is dedicated to providing high-quality infant formula through a unique farm-to-formula journey, ensuring transparency and innovation in their product development. They have established rigorous quality systems and proudly offer the first Clean Label Project-Certified infant formula, emphasizing no-compromise nutrition with trusted ingredients."
Nestlé,Vevey,,Switzerland,10001+ Employees,1866,"Nestlé is committed to enhancing quality of life through its brands and products, focusing on making them tastier and healthier. Their dedication to a healthier future reflects their expertise and resources in the food industry."
Bobbie,San Francisco,,United States,11-50 Employees,2018,"Bobbie offers a trusted and organic infant formula, emphasizing their commitment to supporting diverse feeding choices for children. Their products are designed by moms, ensuring a focus on quality and safety, with a range of ingredients that parents can trust."
Medela,Baar,,Switzerland,1001-5000 Employees,1961,"Medela is dedicated to supporting breastfeeding families, particularly those with infants in the NICU. Their innovative products, like the hands-free double electric breast pump, and resources such as the Medela Family app, are designed to assist parents in meeting their baby's needs from pregnancy through early childhood."
Nestlé Health Science,Vevey,,Switzerland,1001-5000 Employees,2011,"Nestlé Health Science is committed to providing nutrition for all ages, from newborns to seniors, highlighting their dedication to innovation and research in the field of nutrition. Their extensive product range and global presence underscore their focus on delivering advanced nutritional solutions."
CareA2+,Sydney,,Australia,11-50 Employees,,Care A2+ is pioneering the infant formula market in Australia by being the first to incorporate Lactoferrin into their products. Their commitment to innovation and quality aims to redefine what infant and toddler formulas can be.
LNS Private Label,Torcé,,France,251-500 Employees,,"Lactalis Health Nutrition is a leading producer of infant formula, offering high-quality solutions including lactose-free milk formula and infant formula milk powder. Their commitment to meeting the specific nutritional needs of consumers is supported by over 120 years of experience in infant nutrition."
