name,city,state,country,employees,founded,description
eSim Networks,Sydney,,Australia,11-50 Employees,2017,"eSim Networks specializes in providing tailored telecommunication solutions, including 4G mobile services and innovative hardware. Their extensive product portfolio and partnerships with leading carriers ensure competitive access to telecommunications products for businesses of all sizes."
eSIM Go,Cherwell District,,United Kingdom,11-50 Employees,2020,"eSIM Go specializes in digital connectivity solutions, offering flexible eSIM bundles that enhance roaming options and enable businesses to quickly launch their own mobile plans. Their comprehensive platform and API integration allow partners to easily embed eSIM technology and create branded customer experiences, driving new revenue streams and customer loyalty."
eSIMZero,London,,United Kingdom,51-100 Employees,2023,"eSIMzero specializes in eSIM technology for mobile devices, offering seamless data connectivity for international travel with a variety of affordable eSIM bundles available in over 150 countries. Their service includes support for managing eSIMs and ensuring they are set as the preferred SIM for mobile data."
Truphone (formerly Cellnetrix),Unterschleißheim,,Germany,251-500 Employees,2006,"The company is a leader in eSIM technology, providing a robust platform for provisioning and activating eSIMs that enhances mobile connectivity for consumers and enterprises alike. With global coverage and compliance with GSMA standards, it enables seamless activation and management of mobile plans without the need for physical SIM cards."
iBasis,Burlington,,United States,501-1000 Employees,1996,"iBASIS offers innovative eSIM technology that enables dynamic and remote programming of mobile network operator credentials, allowing for seamless global connectivity and reduced complexity in deployment. This approach enhances user experience by providing local data access, lower latency, and a future-proof solution for IoT and mobile connectivity needs."
Oasis Smart SIM,Saint-Germain-en-Laye,,France,11-50 Employees,2010,"Oasis Smart SIM specializes in eSIM solutions, offering a comprehensive portfolio that includes activation, connectivity, and subscription management services. Their technology enables seamless and secure provisioning of eSIMs, facilitating the adoption of this innovative connectivity solution for various applications, particularly in the Consumer and IoT sectors."
Evolving Systems,Englewood,,United States,251-500 Employees,1985,"Evolving Systems specializes in telecommunications solutions, offering a comprehensive (e)SIM Lifecycle Management Suite that streamlines (e)SIM processes for mobile operators worldwide. Their technology enhances customer engagement and supports efficient resource planning and logistics."
1GLOBAL,London,,United Kingdom,501-1000 Employees,2006,"1GLOBAL specializes in eSIM technology and offers a comprehensive range of connectivity solutions for international businesses. Their products enable seamless global communication and IoT connectivity, making it easy for enterprises and device manufacturers to manage connections securely and efficiently across 190+ countries."
EDCH,Dubai,,United Arab Emirates,251-500 Employees,1994,"EDCH specializes in mobile solutions, offering a comprehensive range of services that includes eSIM activation. Their expertise in eUICC technology allows for remote SIM provisioning, enabling users to manage multiple subscriptions and switch service providers without the need for physical SIM cards."
Workz,Dubai,,United Arab Emirates,501-1000 Employees,1997,"Workz specializes in cloud-based eSIM solutions, offering a comprehensive suite of services that manage the entire eSIM lifecycle for both consumer and M2M markets. With over 25 years of experience and recognition as a leading manufacturer of telecom cards, Workz provides intelligent, future-proof eSIM and SIM solutions that enhance subscriber growth while reducing costs and administrative efforts."
